Experiment,Num_Bins,Model_A,Model_B,Is_Pairwise_Null_DGP,Observed_LR,Simulated_LR_PValue,PlusOne_LR_PValue,Observed_PIT_Pairwise_Delta,Simulated_PIT_Delta_PValue,PlusOne_PIT_Delta_PValue,PIT_Uniformity_Target_Model,Observed_PIT_SupUniform,Simulated_PIT_Uniformity_PValue,PlusOne_PIT_Uniformity_PValue,Successful_Replications,Mean_LR,Median_LR,P95_LR,Mean_PIT_Pairwise_Delta,P95_PIT_Pairwise_Delta,Mean_PIT_SupUniform,P95_PIT_SupUniform,Fraction_LL_B_Greater,Fraction_PIT_B_CloserToUniform,Successful_Null_Uniformity_Replications
Alpha-distortion null - common undistorted DGP,10,Common null,Alpha estimated,1,0,1,1,0,1,1,Common null,0.0154929577464789,0.975,0.975124378109453,200,0.700368206894399,0.221987676864956,2.75539957841204,0.00866197183098591,0.0225352112676056,0.0275774647887324,0.0436619718309859,0.555,0.285,200
Alpha-distortion null - common undistorted DGP,20,Common null,Alpha estimated,1,0,1,1,0,1,1,Common null,0.0232394366197183,0.56,0.562189054726368,200,0.700368206894399,0.221987676864956,2.75539957841204,0.00892957746478873,0.023943661971831,0.0239718309859155,0.0345070422535211,0.555,0.27,200
