Simulation,LL_Null,LL_Alternative,Alpha_B,Beta_B,TestStatistic,PIT_Sup_Null,PIT_Sup_Alternative,PIT_Pairwise_Delta,KS_Null,KS_Alternative,ExitFlag_Null,ExitFlag_Alternative,AlphaSearchExpanded,AlphaBoundaryHit,AlphaCandidatesEvaluated,AlphaCandidatesEstimated,AlphaNullCandidateReused,AlphaSearchStopReason
1,602.643510907583,602.775761861297,1.05,1,0.264501907429121,0.0183098591549296,0.0211267605633803,0.0112676056338028,0.030933043517244,0.0269022811774822,2,1,0,0,5,4,1,interior optimum
2,636.140375412414,636.285979038491,0.95,1,0.291207252153754,0.0267605633802817,0.0211267605633803,0.0112676056338028,0.0273273260160634,0.0236230475815227,2,2,0,0,5,4,1,interior optimum
3,637.494171600624,637.624502945163,0.95,1,0.260662689079027,0.0295774647887324,0.0267605633802817,0.0140845070422535,0.0435995186743003,0.0342654217422,1,2,0,0,5,4,1,interior optimum
4,585.418218017938,585.418218017938,1,1,0,0.0267605633802817,0.0267605633802817,0,0.0532596498164797,0.0532596498164797,2,2,0,0,5,4,1,interior optimum
5,617.188130590511,617.62651952681,1.05,1,0.876777872599632,0.0154929577464789,0.00985915492957747,0.0112676056338028,0.0263965404635973,0.0248065453571216,2,2,1,0,7,6,1,interior optimum
6,623.992761392218,623.992761392218,1,1,0,0.0380281690140845,0.0380281690140845,0,0.0379424984627573,0.0379424984627573,2,2,0,0,5,4,1,interior optimum
7,623.704369802248,623.704369802248,1,1,0,0.0183098591549296,0.0183098591549296,0,0.0299082550777343,0.0299082550777343,1,1,0,0,5,4,1,interior optimum
8,638.787223252441,640.772499223148,0.9,1,3.97055194141399,0.0211267605633803,0.023943661971831,0.0225352112676056,0.0351127291627086,0.0297508770633882,2,1,1,0,7,6,1,interior optimum
9,622.433649681389,623.346671286304,0.95,1,1.82604320982978,0.0323943661971831,0.0380281690140845,0.0140845070422535,0.0529884659711293,0.0429520001719653,2,1,1,0,7,6,1,interior optimum
10,623.257630882111,623.257630882111,1,1,0,0.023943661971831,0.023943661971831,0,0.0262099738541096,0.0262099738541096,2,2,0,0,5,4,1,interior optimum
11,664.390477714213,665.685394197376,0.95,1,2.58983296632573,0.0492957746478873,0.0380281690140845,0.0112676056338028,0.0653736454687739,0.0479294120334111,1,1,1,0,7,6,1,interior optimum
12,638.307945438241,640.250437252539,0.9,1,3.88498362859673,0.0464788732394366,0.0183098591549296,0.0394366197183099,0.0590715195926416,0.0463166590660271,2,2,1,0,7,6,1,interior optimum
13,632.233619812574,632.71431130802,0.95,1,0.961382990892844,0.0380281690140845,0.0380281690140845,0.0253521126760563,0.0281147563254182,0.0293235053785367,2,2,0,0,5,4,1,interior optimum
14,627.493892336622,627.493892336622,1,1,0,0.0154929577464789,0.0154929577464789,0,0.0303180912482524,0.0303180912482524,2,2,0,0,5,4,1,interior optimum
15,638.373260047246,639.048687090337,0.95,1,1.35085408618193,0.0380281690140845,0.0352112676056338,0.0112676056338028,0.0419203508099705,0.0364839644783798,1,2,0,0,5,4,1,interior optimum
16,601.369380961675,601.369380961675,1,1,0,0.023943661971831,0.023943661971831,0,0.0405712104707776,0.0405712104707776,2,2,0,0,5,4,1,interior optimum
17,641.53650895261,641.963414399636,0.95,1,0.85381089405314,0.0183098591549296,0.0183098591549296,0.0112676056338028,0.0293017733573176,0.0211615055490153,2,2,0,0,5,4,1,interior optimum
18,611.960409808091,611.960409808091,1,1,0,0.0267605633802817,0.0267605633802817,0,0.051245744859833,0.051245744859833,2,2,0,0,5,4,1,interior optimum
19,625.846787986886,625.846787986886,1,1,0,0.023943661971831,0.023943661971831,0,0.0339559846773212,0.0339559846773212,2,2,0,0,5,4,1,interior optimum
20,631.085115945409,631.312642596627,0.95,1,0.45505330243509,0.0323943661971831,0.0295774647887324,0.0169014084507042,0.0344846947211855,0.0360471613533199,2,2,0,0,5,4,1,interior optimum
21,636.037368210159,636.037368210159,1,1,0,0.0408450704225352,0.0408450704225352,0,0.0373264605352063,0.0373264605352063,2,2,0,0,5,4,1,interior optimum
22,617.383637126618,618.129765121664,0.95,1,1.49225599009242,0.0352112676056338,0.0295774647887324,0.0084507042253521,0.0471092456852966,0.0305062221691742,2,2,0,0,5,4,1,interior optimum
23,613.752142253361,615.324734318433,0.95,1,3.14518413014366,0.0211267605633803,0.023943661971831,0.0197183098591549,0.057945585460316,0.0517647533123638,2,2,1,0,7,6,1,interior optimum
24,627.813087068477,628.224555246312,0.95,1,0.82293635567089,0.0154929577464789,0.0183098591549296,0.0140845070422535,0.0224401699135117,0.029970145256922,1,1,0,0,5,4,1,interior optimum
25,597.217153116824,597.922021647618,1.05,1,1.40973706158798,0.0211267605633803,0.023943661971831,0.0140845070422535,0.0421645071363941,0.0436555958574417,1,2,1,0,7,6,1,interior optimum
26,607.708070503646,607.735976234477,1.05,1,0.0558114616615057,0.0211267605633803,0.0352112676056338,0.0169014084507042,0.0310399205115064,0.0244854947617473,2,2,0,0,5,4,1,interior optimum
27,639.490626898048,640.560817161335,0.95,1,2.1403805265727,0.0352112676056338,0.0323943661971831,0.0225352112676056,0.0501866959137109,0.0336454817415833,2,1,1,0,7,6,1,interior optimum
28,579.498811439989,580.089579233826,1.05,1,1.1815355876729,0.0267605633802817,0.023943661971831,0.0169014084507042,0.0453274050728615,0.0415315171483792,1,2,1,0,7,6,1,interior optimum
29,619.741565177566,619.932591535148,1.05,1,0.382052715163582,0.0352112676056338,0.0267605633802817,0.0140845070422535,0.0335004170035872,0.0490573162860716,2,2,0,0,5,4,1,interior optimum
30,637.658926407458,637.82066395512,0.95,1,0.323475095323829,0.0154929577464789,0.0211267605633803,0.0225352112676056,0.0261999815277699,0.0376946377996913,1,2,0,0,5,4,1,interior optimum
31,585.136183973811,585.576977445429,1.05,1,0.88158694323738,0.0436619718309859,0.0352112676056338,0.0197183098591549,0.0470276894776926,0.0589952930384595,2,2,0,0,5,4,1,interior optimum
32,618.823732527268,618.823732527268,1,1,0,0.0323943661971831,0.0323943661971831,0,0.0592774393729355,0.0592774393729355,1,1,0,0,5,4,1,interior optimum
33,620.667720188444,620.799725286076,1.05,1,0.264010195264518,0.0408450704225352,0.0295774647887324,0.0112676056338028,0.0387378417843294,0.0371565783236028,2,2,0,0,5,4,1,interior optimum
34,618.168896459491,618.168896459491,1,1,0,0.0352112676056338,0.0352112676056338,0,0.0484972282518771,0.0484972282518771,2,2,0,0,5,4,1,interior optimum
35,623.315692409289,623.808644957477,0.95,1,0.985905096376428,0.0380281690140845,0.0295774647887324,0.0140845070422535,0.0475283835176422,0.0419952345278887,2,2,0,0,5,4,1,interior optimum
36,645.000930725115,645.777295847961,0.95,1,1.5527302456926,0.0211267605633803,0.0211267605633803,0.00845070422535212,0.0422379685053298,0.0351140933381881,1,2,1,0,7,6,1,interior optimum
37,605.303934582987,605.331296168313,1.05,1,0.0547231706500497,0.0211267605633803,0.0183098591549296,0.0169014084507042,0.0253156946845345,0.0393656962159308,2,2,0,0,5,4,1,interior optimum
38,633.046566154454,633.046566154454,1,1,0,0.0183098591549296,0.0183098591549296,0,0.0354005525774079,0.0354005525774079,2,2,0,0,5,4,1,interior optimum
39,625.501145661098,625.857865383599,0.95,1,0.713439445000859,0.0183098591549296,0.0211267605633803,0.0112676056338028,0.0440016786483508,0.0387623501930648,2,1,0,0,5,4,1,interior optimum
40,616.100925386446,616.621240700523,1.05,1,1.04063062815499,0.0267605633802817,0.023943661971831,0.0225352112676056,0.039118557583588,0.0460656484876783,2,2,0,0,5,4,1,interior optimum
41,647.168204382082,647.885943970673,0.95,1,1.43547917718092,0.0267605633802817,0.023943661971831,0.0225352112676056,0.0290752512000569,0.0378343111844057,1,2,1,0,7,6,1,interior optimum
42,624.150776072458,624.885485365224,0.95,1,1.46941858553259,0.0323943661971831,0.0323943661971831,0.0169014084507042,0.0712360936275672,0.054734891024337,2,2,0,0,5,4,1,interior optimum
43,647.689768656435,649.896611543369,0.9,1,4.41368577386788,0.0295774647887324,0.0183098591549296,0.0197183098591549,0.0605381090096936,0.0357490757055168,2,1,1,0,7,6,1,interior optimum
44,606.475537971201,606.475537971201,1,1,0,0.0267605633802817,0.0267605633802817,0,0.0482993136296554,0.0482993136296554,1,1,0,0,5,4,1,interior optimum
45,626.390130048783,626.854709767954,0.95,1,0.929159438342367,0.0183098591549296,0.0154929577464789,0.0112676056338028,0.0396211490320739,0.0267376694335705,2,2,0,0,5,4,1,interior optimum
46,576.496755895611,579.100096618421,1.1,1,5.2066814456191,0.0380281690140845,0.0408450704225352,0.0197183098591549,0.0477745064483221,0.0369340064990554,1,2,1,0,7,6,1,interior optimum
47,600.877018506113,600.877018506113,1,1,0,0.0323943661971831,0.0323943661971831,0,0.0461500890526861,0.0461500890526861,2,2,0,0,5,4,1,interior optimum
48,646.226519081824,648.272229361819,0.9,1,4.09142055999109,0.023943661971831,0.0154929577464789,0.028169014084507,0.042307607903629,0.0250840926312199,2,2,1,0,7,6,1,interior optimum
49,619.25052892194,619.269991357136,1.05,1,0.0389248703927478,0.0267605633802817,0.0295774647887324,0.0140845070422535,0.0308192588164561,0.0314240008337165,2,2,0,0,5,4,1,interior optimum
50,609.280620676511,609.280620676511,1,1,0,0.0211267605633803,0.0211267605633803,0,0.0321176544183223,0.0321176544183223,1,1,0,0,5,4,1,interior optimum
51,614.959748381665,614.959748381665,1,1,0,0.0295774647887324,0.0295774647887324,0,0.04015821564424,0.04015821564424,2,2,0,0,5,4,1,interior optimum
52,641.576468108434,642.969972883249,0.9,1,2.78700954962915,0.0154929577464789,0.0126760563380282,0.0253521126760563,0.0366311368958493,0.0245403680792073,2,2,1,0,7,6,1,interior optimum
53,596.712239696548,597.32108325333,1.05,1,1.21768711356367,0.0295774647887324,0.0295774647887324,0.0112676056338028,0.0381090290062632,0.0535938379145298,2,1,0,0,5,4,1,interior optimum
54,635.167671976427,635.266442621721,0.95,1,0.197541290587196,0.0323943661971831,0.0352112676056338,0.0140845070422535,0.030160883769329,0.0263976261047381,1,1,0,0,5,4,1,interior optimum
55,635.458252503082,635.458252503082,1,1,0,0.023943661971831,0.023943661971831,0,0.0318491303954591,0.0318491303954591,1,1,0,0,5,4,1,interior optimum
56,617.015905627782,617.015905627782,1,1,0,0.0267605633802817,0.0267605633802817,0,0.0446190427673433,0.0446190427673433,1,1,0,0,5,4,1,interior optimum
57,624.526683654694,624.526683654694,1,1,0,0.0323943661971831,0.0323943661971831,0,0.0260434565734029,0.0260434565734029,1,1,0,0,5,4,1,interior optimum
58,614.719971265864,614.719971265864,1,1,0,0.0126760563380282,0.0126760563380282,0,0.0262715358754201,0.0262715358754201,2,2,0,0,5,4,1,interior optimum
59,646.246163136431,646.800967320673,0.95,1,1.10960836848312,0.0267605633802817,0.023943661971831,0.0112676056338028,0.0405912029262779,0.0286156329074856,1,2,1,0,7,6,1,interior optimum
60,637.113210770653,637.777124435658,0.95,1,1.32782733001,0.0211267605633803,0.0183098591549296,0.0140845070422535,0.0448268004916723,0.046711325705517,2,2,1,0,7,6,1,interior optimum
61,641.35048725368,642.452092120499,0.95,1,2.20320973363846,0.023943661971831,0.0126760563380282,0.0140845070422535,0.0400601872701207,0.0330396433583904,1,2,1,0,7,6,1,interior optimum
62,622.38214632307,623.28289882098,0.95,1,1.80150499581987,0.0295774647887324,0.0267605633802817,0.0197183098591549,0.0507716450242345,0.0453657853799117,2,2,1,0,7,6,1,interior optimum
63,648.706006880647,649.509988762833,0.95,1,1.60796376437111,0.0267605633802817,0.023943661971831,0.0112676056338028,0.0353513842709506,0.0266802314088087,2,2,1,0,7,6,1,interior optimum
64,634.168241122823,634.168241122823,1,1,0,0.0295774647887324,0.0295774647887324,0,0.0344084387848812,0.0344084387848812,2,2,0,0,5,4,1,interior optimum
65,625.675910315505,625.675910315505,1,1,0,0.023943661971831,0.023943661971831,0,0.0292371182380565,0.0292371182380565,1,1,0,0,5,4,1,interior optimum
66,640.077626585221,640.243277473524,0.95,1,0.331301776606324,0.0352112676056338,0.0380281690140845,0.00845070422535212,0.0412463948443048,0.0338372873573092,2,2,0,0,5,4,1,interior optimum
67,639.10927107232,639.478501117221,0.95,1,0.738460089801947,0.0154929577464789,0.0154929577464789,0.00845070422535212,0.0294266071681005,0.0323294504922769,1,1,0,0,5,4,1,interior optimum
68,613.063096285515,613.422510379763,1.05,1,0.718828188495081,0.0436619718309859,0.0380281690140845,0.0112676056338028,0.0417168410729325,0.0438034611675162,1,2,0,0,5,4,1,interior optimum
69,602.212099551552,602.263230596438,1.05,1,0.102262089772466,0.0323943661971831,0.0352112676056338,0.00845070422535212,0.0331327596962075,0.0239345666468675,2,2,0,0,5,4,1,interior optimum
70,598.014779045035,598.014779045035,1,1,0,0.0154929577464789,0.0154929577464789,0,0.045218279478159,0.045218279478159,2,2,0,0,5,4,1,interior optimum
71,618.079859561092,618.448910177136,1.05,1,0.738101232087956,0.0408450704225352,0.0323943661971831,0.0140845070422535,0.0652040007876188,0.0521060998347823,2,2,0,0,5,4,1,interior optimum
72,656.13757375559,657.339113732961,0.95,1,2.40307995474041,0.0464788732394366,0.0436619718309859,0.0112676056338028,0.0407098223352509,0.0437395775408687,2,1,1,0,7,6,1,interior optimum
73,611.865153019899,611.999690429099,1.05,1,0.269074818399076,0.0267605633802817,0.0295774647887324,0.0169014084507042,0.0379553521791109,0.0310105588223371,2,2,0,0,5,4,1,interior optimum
74,626.35596871351,626.35596871351,1,1,0,0.023943661971831,0.023943661971831,0,0.0350533007683679,0.0350533007683679,2,2,0,0,5,4,1,interior optimum
75,624.375387908294,624.375387908294,1,1,0,0.0352112676056338,0.0352112676056338,0,0.0521181165460193,0.0521181165460193,2,2,0,0,5,4,1,interior optimum
76,630.191346496565,631.149987230562,0.95,1,1.91728146799505,0.0267605633802817,0.023943661971831,0.0225352112676056,0.0371420292066968,0.0253657015301894,2,2,1,0,7,6,1,interior optimum
77,633.547513743064,635.018176415206,0.95,1,2.94132534428536,0.023943661971831,0.0267605633802817,0.00845070422535212,0.0356656073666715,0.0298745613368199,2,1,1,0,7,6,1,interior optimum
78,641.912926380876,642.220489842083,0.95,1,0.61512692241331,0.0183098591549296,0.0267605633802817,0.0112676056338028,0.0386521981067629,0.032020755715932,2,2,0,0,5,4,1,interior optimum
79,607.895945393147,608.180270175518,1.05,1,0.568649564742145,0.0323943661971831,0.0323943661971831,0.0112676056338028,0.0295819807789485,0.0355525916929881,1,2,0,0,5,4,1,interior optimum
80,627.411709780899,627.701038973254,0.95,1,0.578658384710025,0.0380281690140845,0.0323943661971831,0.0140845070422535,0.0356470504312394,0.028756533606614,2,2,0,0,5,4,1,interior optimum
81,628.945469682905,628.945469682905,1,1,0,0.0154929577464789,0.0154929577464789,0,0.0330170039480207,0.0330170039480207,2,2,0,0,5,4,1,interior optimum
