Bin,LowerEdge,UpperEdge,MeanProbability_A,MeanProbability_B
1,0,0.05,0.0499014084507042,0.0506197183098591
2,0.05,0.1,0.0524366197183098,0.0529577464788732
3,0.1,0.15,0.0509859154929577,0.0507183098591549
4,0.15,0.2,0.0507464788732394,0.0507464788732394
5,0.2,0.25,0.0508450704225352,0.0507464788732394
6,0.25,0.3,0.0523521126760563,0.0515492957746479
7,0.3,0.35,0.0494225352112676,0.0488591549295774
8,0.35,0.4,0.0492112676056338,0.0490281690140845
9,0.4,0.45,0.0494225352112676,0.0495633802816901
10,0.45,0.5,0.0491267605633803,0.0485633802816901
11,0.5,0.55,0.0497746478873239,0.0495352112676056
12,0.55,0.6,0.0487605633802817,0.0491267605633803
13,0.6,0.65,0.0514507042253521,0.0506056338028169
14,0.65,0.7,0.0498169014084507,0.0501408450704225
15,0.7,0.75,0.0509014084507042,0.0499859154929577
16,0.75,0.8,0.047281690140845,0.0485070422535211
17,0.8,0.85,0.050281690140845,0.0496478873239436
18,0.85,0.9,0.0490845070422535,0.0494647887323943
19,0.9,0.95,0.0493239436619718,0.0500281690140845
20,0.95,1,0.0488732394366197,0.0496056338028169
