Simulation,SelectedAlpha,FixedBeta,AlphaSearchExpanded,AlphaBoundaryHit,AlphaCandidatesEvaluated,AlphaCandidatesEstimated,AlphaNullCandidateReused,AlphaSearchStopReason
48,0.9,1,1,0,7,6,1,interior optimum
49,1.05,1,0,0,5,4,1,interior optimum
50,1,1,0,0,5,4,1,interior optimum
51,1,1,0,0,5,4,1,interior optimum
52,0.9,1,1,0,7,6,1,interior optimum
53,1.05,1,0,0,5,4,1,interior optimum
54,0.95,1,0,0,5,4,1,interior optimum
55,1,1,0,0,5,4,1,interior optimum
56,1,1,0,0,5,4,1,interior optimum
57,1,1,0,0,5,4,1,interior optimum
58,1,1,0,0,5,4,1,interior optimum
59,0.95,1,1,0,7,6,1,interior optimum
60,0.95,1,1,0,7,6,1,interior optimum
61,0.95,1,1,0,7,6,1,interior optimum
62,0.95,1,1,0,7,6,1,interior optimum
63,0.95,1,1,0,7,6,1,interior optimum
64,1,1,0,0,5,4,1,interior optimum
65,1,1,0,0,5,4,1,interior optimum
66,0.95,1,0,0,5,4,1,interior optimum
67,0.95,1,0,0,5,4,1,interior optimum
68,1.05,1,0,0,5,4,1,interior optimum
69,1.05,1,0,0,5,4,1,interior optimum
70,1,1,0,0,5,4,1,interior optimum
71,1.05,1,0,0,5,4,1,interior optimum
72,0.95,1,1,0,7,6,1,interior optimum
73,1.05,1,0,0,5,4,1,interior optimum
74,1,1,0,0,5,4,1,interior optimum
75,1,1,0,0,5,4,1,interior optimum
76,0.95,1,1,0,7,6,1,interior optimum
77,0.95,1,1,0,7,6,1,interior optimum
78,0.95,1,0,0,5,4,1,interior optimum
79,1.05,1,0,0,5,4,1,interior optimum
80,0.95,1,0,0,5,4,1,interior optimum
81,1,1,0,0,5,4,1,interior optimum
82,1.05,1,1,0,7,6,1,interior optimum
83,1.05,1,0,0,5,4,1,interior optimum
84,0.95,1,0,0,5,4,1,interior optimum
85,1,1,0,0,5,4,1,interior optimum
86,1.05,1,0,0,5,4,1,interior optimum
87,1,1,0,0,5,4,1,interior optimum
88,1,1,0,0,5,4,1,interior optimum
89,0.95,1,0,0,5,4,1,interior optimum
90,0.95,1,0,0,5,4,1,interior optimum
91,1.05,1,0,0,5,4,1,interior optimum
92,1.05,1,0,0,5,4,1,interior optimum
93,1.05,1,1,0,7,6,1,interior optimum
94,0.95,1,0,0,5,4,1,interior optimum
95,1,1,0,0,5,4,1,interior optimum
96,1,1,0,0,5,4,1,interior optimum
97,1,1,0,0,5,4,1,interior optimum
98,1,1,0,0,5,4,1,interior optimum
99,1,1,0,0,5,4,1,interior optimum
100,1,1,0,0,5,4,1,interior optimum
101,0.95,1,0,0,5,4,1,interior optimum
102,1,1,0,0,5,4,1,interior optimum
103,0.95,1,0,0,5,4,1,interior optimum
104,1,1,0,0,5,4,1,interior optimum
105,1,1,0,0,5,4,1,interior optimum
106,1.05,1,0,0,5,4,1,interior optimum
107,1.1,1,1,0,7,6,1,interior optimum
108,0.95,1,1,0,7,6,1,interior optimum
109,1,1,0,0,5,4,1,interior optimum
110,1,1,0,0,5,4,1,interior optimum
111,1,1,0,0,5,4,1,interior optimum
112,1,1,0,0,5,4,1,interior optimum
113,0.95,1,1,0,7,6,1,interior optimum
114,1,1,0,0,5,4,1,interior optimum
115,1.05,1,0,0,5,4,1,interior optimum
116,0.95,1,1,0,7,6,1,interior optimum
117,1,1,0,0,5,4,1,interior optimum
118,0.95,1,1,0,7,6,1,interior optimum
119,0.95,1,0,0,5,4,1,interior optimum
120,1.05,1,1,0,7,6,1,interior optimum
121,0.95,1,0,0,5,4,1,interior optimum
122,1,1,0,0,5,4,1,interior optimum
123,1,1,0,0,5,4,1,interior optimum
124,1,1,0,0,5,4,1,interior optimum
125,0.95,1,0,0,5,4,1,interior optimum
126,1,1,0,0,5,4,1,interior optimum
127,1.05,1,0,0,5,4,1,interior optimum
128,0.95,1,1,0,7,6,1,interior optimum
129,1.05,1,0,0,5,4,1,interior optimum
130,0.95,1,0,0,5,4,1,interior optimum
131,1,1,0,0,5,4,1,interior optimum
132,1,1,0,0,5,4,1,interior optimum
133,1,1,0,0,5,4,1,interior optimum
134,1,1,0,0,5,4,1,interior optimum
135,1.05,1,0,0,5,4,1,interior optimum
136,1.05,1,0,0,5,4,1,interior optimum
137,1.05,1,0,0,5,4,1,interior optimum
138,1,1,0,0,5,4,1,interior optimum
139,1,1,0,0,5,4,1,interior optimum
140,1,1,0,0,5,4,1,interior optimum
141,1.05,1,0,0,5,4,1,interior optimum
142,1,1,0,0,5,4,1,interior optimum
143,0.95,1,0,0,5,4,1,interior optimum
144,0.95,1,0,0,5,4,1,interior optimum
145,1,1,0,0,5,4,1,interior optimum
146,1,1,0,0,5,4,1,interior optimum
147,1,1,0,0,5,4,1,interior optimum
148,0.95,1,1,0,7,6,1,interior optimum
149,1,1,0,0,5,4,1,interior optimum
150,1,1,0,0,5,4,1,interior optimum
151,1,1,0,0,5,4,1,interior optimum
152,1.05,1,0,0,5,4,1,interior optimum
153,1.05,1,1,0,7,6,1,interior optimum
154,1,1,0,0,5,4,1,interior optimum
155,1,1,0,0,5,4,1,interior optimum
156,0.95,1,1,0,7,6,1,interior optimum
157,1,1,0,0,5,4,1,interior optimum
158,1.1,1,1,0,7,6,1,interior optimum
159,0.95,1,0,0,5,4,1,interior optimum
160,1,1,0,0,5,4,1,interior optimum
161,1,1,0,0,5,4,1,interior optimum
162,1.05,1,0,0,5,4,1,interior optimum
163,1,1,0,0,5,4,1,interior optimum
164,1,1,0,0,5,4,1,interior optimum
165,1.1,1,1,0,7,6,1,interior optimum
166,1.05,1,1,0,7,6,1,interior optimum
167,0.95,1,1,0,7,6,1,interior optimum
168,1,1,0,0,5,4,1,interior optimum
169,1,1,0,0,5,4,1,interior optimum
170,1,1,0,0,5,4,1,interior optimum
171,0.95,1,1,0,7,6,1,interior optimum
172,0.95,1,0,0,5,4,1,interior optimum
173,0.95,1,0,0,5,4,1,interior optimum
174,1.05,1,1,0,7,6,1,interior optimum
175,1,1,0,0,5,4,1,interior optimum
176,1,1,0,0,5,4,1,interior optimum
177,1,1,0,0,5,4,1,interior optimum
178,0.9,1,1,0,7,6,1,interior optimum
179,1,1,0,0,5,4,1,interior optimum
180,1,1,0,0,5,4,1,interior optimum
181,1,1,0,0,5,4,1,interior optimum
182,0.95,1,0,0,5,4,1,interior optimum
183,1,1,0,0,5,4,1,interior optimum
184,1,1,0,0,5,4,1,interior optimum
185,0.95,1,0,0,5,4,1,interior optimum
186,0.95,1,0,0,5,4,1,interior optimum
187,0.95,1,0,0,5,4,1,interior optimum
188,0.95,1,1,0,7,6,1,interior optimum
189,0.95,1,0,0,5,4,1,interior optimum
190,1,1,0,0,5,4,1,interior optimum
191,1,1,0,0,5,4,1,interior optimum
192,1,1,0,0,5,4,1,interior optimum
193,1.05,1,0,0,5,4,1,interior optimum
194,1,1,0,0,5,4,1,interior optimum
195,1,1,0,0,5,4,1,interior optimum
196,1.05,1,1,0,7,6,1,interior optimum
197,1,1,0,0,5,4,1,interior optimum
198,1,1,0,0,5,4,1,interior optimum
199,1,1,0,0,5,4,1,interior optimum
200,1,1,0,0,5,4,1,interior optimum
