alpha,beta_0.80,beta_0.85,beta_0.90,beta_0.95,beta_1.00,beta_1.05
0.90,338.7532,339.1292,339.2677,339.2711,339.1615,338.9642
0.95,340.1835,340.2756,340.2118,340.0399,339.782,339.4566
1.00,340.2292,340.3406,340.1622,339.8353,339.4441,339.0063
1.05,339.0734,339.2629,339.1713,338.9068,338.534,338.0933
