Num_Bins,Observed_PIT_SupUniform,P95_PIT_SupUniform,Simulated_PIT_Uniformity_PValue,PlusOne_PIT_Uniformity_PValue,Successful_Replications,Mean_PIT_SupUniform
10,0.0154929577464789,0.0436619718309859,1,1,50,0.028056338028169
20,0.0232394366197183,0.0373239436619718,0.62,0.627450980392157,50,0.0244225352112676
