date_30,rf_gross_TTM30,date_60,rf_gross_TTM60,date_90,rf_gross_TTM90,date_180,rf_gross_TTM180
19960117,1.00452312735247,19960117,1.00879343586312,19960126,1.01255135132011,19960117,1.0231790933096
19960214,1.00428327942304,19960214,1.00934192642401,19960223,1.01210949634177,19960214,1.03052555989128
19960320,1.00435259937557,19960320,1.00857887630668,19960320,1.01389322710252,19960320,1.02778642904883
19960417,1.00439295104891,19960417,1.0097345898451,19960424,1.0129245593136,19960417,1.02381093303107
19960522,1.00437127704051,19960522,1.00866130192934,19960524,1.01268601238343,19960522,1.03311740076025
19960619,1.00437343465227,19960619,1.00878527796877,19960619,1.01443964423526,19960619,1.02944952783126
19960717,1.00439288687364,19960717,1.00995605797481,19960724,1.0133845958883,19960717,1.02506398656629
19960821,1.00434686711138,19960821,1.00868546077643,19960821,1.01875100757983,19960821,1.03366476891808
19960918,1.00440092754091,19960918,1.00887960752708,19960918,1.01465055489876,19960918,1.02986475506949
19961016,1.00432552571702,19961016,1.00976477120377,19961025,1.01276167265823,19961016,1.02419604869588
19961120,1.00433184136915,19961120,1.00862071048783,19961122,1.01369360512928,19961120,1.03241376692799
19961218,1.00450147886171,19961218,1.00990181966013,19961218,1.0142612761136,19961218,1.02857045000397
19970122,1.00437257175748,19970122,1.00873369774048,19970122,1.01314383651445,19970122,1.0232170731049
19970219,1.00432942126645,19970219,1.00861952713365,19970219,1.01842856357279,19970219,1.03282216662095
19970319,1.00443354198355,19970319,1.00887904646539,19970319,1.0145625167013,19970319,1.02963594634158
19970416,1.00457346168965,19970416,1.01033411490998,19970424,1.01376017519406,19970416,1.02589944094119
19970521,1.00457399100859,19970521,1.00913196827393,19970521,1.01376871121103,19970521,1.03523673471884
19970618,1.00457312604304,19970618,1.00908398023467,19970618,1.01479401779628,19970618,1.02980444988432
19970716,1.00456543960627,19970716,1.01017896069972,19970724,1.01334681516942,19970716,1.02509457462958
19970820,1.00453035159523,19970820,1.00900146028505,19970820,1.01928871341359,19970820,1.03441498282543
19970917,1.00455248074798,19970917,1.01016018683855,19970917,1.01469740083497,19970917,1.02958836394341
19971022,1.00455460826579,19971022,1.00914727524259,19971022,1.01377710319141,19971022,1.02428613231619
19971119,1.00457395628317,19971119,1.00913151752026,19971128,1.01813652876936,19971119,1.03444762486129
19971217,1.00475929184695,19971217,1.01050045254739,19971217,1.01507838693112,19971217,1.0300502389397
19980121,1.00451820442472,19980121,1.00887726988841,19980121,1.01324318774544,19980121,1.02304780194348
19980218,1.00452677471278,19980218,1.0089128063778,19980218,1.01873675584213,19980218,1.032958261928
19980318,1.0045636925913,19980318,1.00897331397728,19980318,1.01450734293591,19980318,1.02903474774138
19980415,1.00455199622537,19980415,1.01010406989109,19980421,1.01363840752355,19980415,1.02473213209823
19980520,1.00454202946999,19980520,1.00900008704013,19980520,1.01460679033571,19980520,1.03405419798903
19980617,1.00454688757497,19980617,1.01010958258369,19980617,1.01458786526182,19980617,1.02939005917339
19980722,1.00454674916159,19980722,1.00898881050237,19980722,1.01344699398951,19980722,1.02361395591185
19980819,1.00454650435711,19980819,1.00896905692132,19980825,1.01357841074894,19980819,1.03348521989447
