date,realized_ret
19960117,1.05336675627092
19960214,1.01468928277251
19960320,1.05700175390012
19960417,1.10786926637677
19960522,1.08726157837328
19960619,1.13129192096199
19960717,1.22410774835586
19960821,1.20554227374562
19960918,1.1506009068631
19961016,1.08791754801891
19961120,1.11533033133947
19961218,1.22850425130547
19970122,1.16416315836333
19970219,1.10870287634309
19970319,1.20965422451863
19970416,1.23657223684728
19970521,1.14742360159647
19970618,1.06492250241828
19970716,1.02660716001666
19970820,1.100984723479
19970917,1.16559915164369
19971022,1.15924790137224
19971119,1.17376851332324
19971217,1.13993205874433
19980121,1.22243281383587
19980218,1.04763196651422
19980318,0.93972474021667
19980415,0.943805167423078
19980520,1.03975658141655
19980617,1.0730912014163
19980722,1.06801938011133
19980819,1.12855399522795
19980916,1.24276887171443
19981021,1.23280245251981
19981118,1.16235320844401
19981216,1.15568790126857
19990120,1.12904457990482
19990217,1.09197486989698
19990317,1.02897166016859
19990421,0.933606262910517
19990519,1.0578546826064
19990616,1.06811434069197
19990721,1.04500141377085
19990818,1.00994117823595
19990915,1.11115579262047
19991020,1.11253809822945
19991117,0.997334675447115
19991222,1.01972662641961
20000119,1.0166838381757
20000216,1.07498180403122
20000321,0.981216571723108
20000419,0.978605504844235
20000517,0.944688492885758
20000621,0.887109314259058
20000719,0.905921887230425
20000816,0.879501300807514
20000920,0.792736367770474
20001018,0.92612489103142
20001115,0.929594692799735
20001220,0.960165725761817
20010117,0.910776474835837
20010214,0.88300960544714
20010321,0.860676920883312
20010418,0.86699618789171
20010516,0.886115845259496
20010620,0.936025311902153
20010718,0.933651290458802
20010822,0.947541855815191
20010919,1.1476823147328
20011017,1.04463879527245
20011121,0.973228498808299
20011219,0.860450955148057
20020116,0.751846891988967
20020213,0.83036360872947
20020320,0.733941051352173
20020417,0.785377463212767
20020522,0.837765418684739
20020619,0.878194884263571
20020717,0.995298220829102
20020821,0.893412404145951
20020918,1.03028316426288
20021016,1.03902234831748
20021120,1.0329814581852
20021218,1.11734670975851
20030122,1.13088027687964
20030219,1.17221019251476
20030318,1.19561580617248
20030416,1.18116625563978
20030521,1.1211366442139
20030618,1.07779504796602
20030716,1.14671026156942
20030820,1.14376686993902
20030917,1.0816885483981
20031022,1.10117822896852
