target_ttm,date,exdate,calendar_ttm,rf_days,rf_annualized,rf_gross
30,19960117,19960216,30,29,0.056800655,1.00452312735247
30,19960214,19960315,30,29,0.0537951133333333,1.00428327942304
30,19960320,19960419,30,29,0.0546638375,1.00435259937557
30,19960417,19960517,30,29,0.0551695008571429,1.00439295104891
30,19960522,19960621,30,29,0.0548978975,1.00437127704051
30,19960619,19960719,30,29,0.0549249354285714,1.00437343465227
30,19960717,19960816,30,29,0.0551686966666667,1.00439288687364
30,19960821,19960920,30,29,0.0545920025,1.00434686711138
30,19960918,19961018,30,29,0.0552694551428571,1.00440092754091
30,19961016,19961115,30,29,0.054324555,1.00432552571702
30,19961120,19961220,30,29,0.0544037025,1.00433184136915
30,19961218,19970117,30,29,0.0565294065714286,1.00450147886171
30,19970122,19970221,30,29,0.0549141221428571,1.00437257175748
30,19970219,19970321,30,29,0.0543733739285714,1.00432942126645
30,19970319,19970418,30,29,0.055678142,1.00443354198355
30,19970416,19970516,30,29,0.057431305,1.00457346168965
30,19970521,19970620,30,29,0.0574379367857143,1.00457399100859
30,19970618,19970718,30,29,0.0574270997142857,1.00457312604304
30,19970716,19970815,30,29,0.0573307966666667,1.00456543960627
30,19970820,19970919,30,29,0.0568911710714286,1.00453035159523
30,19970917,19971017,30,29,0.057168434,1.00455248074798
30,19971022,19971121,30,29,0.05719509,1.00455460826579
30,19971119,19971219,30,29,0.0574375017142857,1.00457395628317
30,19971217,19980116,30,29,0.0597593383333333,1.00475929184695
30,19980121,19980220,30,29,0.0567389728571429,1.00451820442472
30,19980218,19980320,30,29,0.0568463546428571,1.00452677471278
30,19980318,19980417,30,29,0.0573089082857143,1.0045636925913
30,19980415,19980515,30,29,0.0571623633333333,1.00455199622537
30,19980520,19980619,30,29,0.0570374875,1.00454202946999
30,19980617,19980717,30,29,0.057098356,1.00454688757497
30,19980722,19980821,30,29,0.0570966217857143,1.00454674916159
30,19980819,19980918,30,29,0.0570935545714286,1.00454650435711
30,19980916,19981016,30,29,0.0566084883333333,1.00450779037375
30,19981021,19981120,30,29,0.0528392814285714,1.00420701422583
30,19981118,19981218,30,29,0.0510915302857143,1.00406757729158
30,19981216,19990115,30,29,0.0552263566666667,1.00439748821437
30,19990120,19990219,30,29,0.0500231478571429,1.0039823504526
30,19990217,19990319,30,29,0.0499111211428571,1.00397341429381
30,19990317,19990416,30,29,0.04978107,1.00396304046026
30,19990421,19990521,30,29,0.0496204032142857,1.00395022464637
30,19990519,19990618,30,29,0.0497844168571429,1.0039633074288
30,19990616,19990716,30,29,0.050524605,1.00402235171386
30,19990721,19990820,30,29,0.0521585857142857,1.00415270549466
30,19990818,19990917,30,29,0.0533183771428571,1.00424524023289
30,19990915,19991015,30,29,0.054391235,1.00433084651017
30,19991020,19991119,30,29,0.0547587521428571,1.00436017339119
30,19991117,19991217,30,29,0.056574102,1.00450504599708
30,19991222,20000121,30,29,0.0635510435714286,1.00506202999668
