grid_index,gross_return_R
1,0.003
2,0.003099903330111
3,0.00319980666022201
4,0.00329970999033301
5,0.00339961332044401
6,0.00349951665055502
7,0.00359941998066602
8,0.00369932331077703
9,0.00379922664088803
10,0.00389912997099903
11,0.00399903330111004
12,0.00409893663122104
13,0.00419883996133204
14,0.00429874329144305
15,0.00439864662155405
16,0.00449854995166506
17,0.00459845328177606
18,0.00469835661188706
19,0.00479825994199807
20,0.00489816327210907
21,0.00499806660222007
22,0.00509796993233108
23,0.00519787326244208
24,0.00529777659255309
25,0.00539767992266409
26,0.00549758325277509
27,0.0055974865828861
28,0.0056973899129971
29,0.0057972932431081
30,0.00589719657321911
31,0.00599709990333011
32,0.00609700323344111
33,0.00619690656355212
34,0.00629680989366312
35,0.00639671322377413
36,0.00649661655388513
37,0.00659651988399613
38,0.00669642321410714
39,0.00679632654421814
40,0.00689622987432914
41,0.00699613320444015
42,0.00709603653455115
43,0.00719593986466216
44,0.00729584319477316
45,0.00739574652488416
46,0.00749564985499517
47,0.00759555318510617
48,0.00769545651521717
49,0.00779535984532818
50,0.00789526317543918
51,0.00799516650555019
52,0.00809506983566119
53,0.00819497316577219
54,0.0082948764958832
55,0.0083947798259942
56,0.0084946831561052
57,0.00859458648621621
58,0.00869448981632721
59,0.00879439314643822
60,0.00889429647654922
61,0.00899419980666022
62,0.00909410313677123
63,0.00919400646688223
64,0.00929390979699323
65,0.00939381312710424
66,0.00949371645721524
67,0.00959361978732625
68,0.00969352311743725
69,0.00979342644754825
70,0.00989332977765926
71,0.00999323310777026
72,0.0100931364378813
73,0.0101930397679923
74,0.0102929430981033
75,0.0103928464282143
76,0.0104927497583253
77,0.0105926530884363
78,0.0106925564185473
79,0.0107924597486583
80,0.0108923630787693
81,0.0109922664088803
82,0.0110921697389913
83,0.0111920730691023
84,0.0112919763992133
85,0.0113918797293243
86,0.0114917830594353
87,0.0115916863895463
88,0.0116915897196573
89,0.0117914930497683
90,0.0118913963798793
91,0.0119912997099903
92,0.0120912030401013
93,0.0121911063702123
94,0.0122910097003233
95,0.0123909130304343
96,0.0124908163605454
97,0.0125907196906564
98,0.0126906230207674
99,0.0127905263508784
100,0.0128904296809894
101,0.0129903330111004
102,0.0130902363412114
103,0.0131901396713224
104,0.0132900430014334
105,0.0133899463315444
106,0.0134898496616554
107,0.0135897529917664
108,0.0136896563218774
109,0.0137895596519884
110,0.0138894629820994
111,0.0139893663122104
112,0.0140892696423214
113,0.0141891729724324
