Measure,Val_at_0_8,Val_at_1,Val_at_1_2,Min_08_12,Max_08_12
ARA,0.7426,0.2558,0.0596,0.0597,0.7418
RRA,0.5941,0.2558,0.0715,0.0716,0.5936
AP,5.4204,6.3617,8.8489,5.4208,8.8454
RP,4.3363,6.3617,10.6186,4.3379,10.6129
AT,5.052,5.1422,6.7255,4.9422,6.7231
RT,4.0416,5.1422,8.0706,4.0423,8.0665
