Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,1.33,0.18,0
RRA,1.07,0.18,0
AP,9.14,13.81,-68.67
RP,7.31,13.81,-82.41
AT,8.99,9.21,-32.66
RT,7.19,9.21,-39.19
A5,10.67,6.42,5.19
R5,8.54,6.42,6.22
A6,13.21,8.76,4.43
R6,10.56,8.76,5.31
