R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT
1.174887,0.977024,-0.119933,0.116802,-0.213169,0.122753,0.144221,0.973898,1.144221,1.825044,2.144221
1.175158,0.976991,-0.119901,0.116745,-0.213015,0.122725,0.144221,0.973675,1.144221,1.824624,2.144221
1.175428,0.976959,-0.11987,0.116687,-0.212862,0.122697,0.144221,0.973451,1.144221,1.824205,2.144221
1.175698,0.976926,-0.119838,0.11663,-0.212708,0.122669,0.144221,0.973227,1.144221,1.823786,2.144221
1.175968,0.976894,-0.119807,0.116572,-0.212554,0.12264,0.144221,0.973004,1.144221,1.823368,2.144221
1.176238,0.976862,-0.119775,0.116515,-0.212401,0.122612,0.144221,0.972781,1.144221,1.822949,2.144221
1.176508,0.976829,-0.119744,0.116458,-0.212248,0.122584,0.144221,0.972557,1.144221,1.822531,2.144221
1.176778,0.976797,-0.119712,0.1164,-0.212095,0.122556,0.144221,0.972334,1.144221,1.822112,2.144221
1.177048,0.976765,-0.119681,0.116343,-0.211942,0.122528,0.144221,0.972111,1.144221,1.821694,2.144221
1.177318,0.976732,-0.11965,0.116286,-0.211789,0.1225,0.144221,0.971888,1.144221,1.821277,2.144221
1.177588,0.9767,-0.119618,0.116229,-0.211636,0.122472,0.144221,0.971665,1.144221,1.820859,2.144221
1.177858,0.976668,-0.119587,0.116172,-0.211484,0.122444,0.144221,0.971443,1.144221,1.820441,2.144221
1.178128,0.976636,-0.119555,0.116115,-0.211331,0.122416,0.144221,0.97122,1.144221,1.820024,2.144221
1.178398,0.976603,-0.119524,0.116058,-0.211179,0.122387,0.144221,0.970997,1.144221,1.819607,2.144221
1.178668,0.976571,-0.119493,0.116001,-0.211027,0.122359,0.144221,0.970775,1.144221,1.81919,2.144221
1.178938,0.976539,-0.119461,0.115944,-0.210875,0.122331,0.144221,0.970553,1.144221,1.818774,2.144221
1.179208,0.976507,-0.11943,0.115887,-0.210723,0.122303,0.144221,0.97033,1.144221,1.818357,2.144221
1.179478,0.976474,-0.119399,0.11583,-0.210572,0.122275,0.144221,0.970108,1.144221,1.817941,2.144221
1.179748,0.976442,-0.119368,0.115773,-0.21042,0.122247,0.144221,0.969886,1.144221,1.817525,2.144221
1.180018,0.97641,-0.119336,0.115716,-0.210269,0.122219,0.144221,0.969664,1.144221,1.817109,2.144221
1.180288,0.976378,-0.119305,0.115659,-0.210118,0.122191,0.144221,0.969442,1.144221,1.816693,2.144221
1.180558,0.976345,-0.119274,0.115603,-0.209966,0.122164,0.144221,0.969221,1.144221,1.816278,2.144221
1.180828,0.976313,-0.119243,0.115546,-0.209816,0.122136,0.144221,0.968999,1.144221,1.815862,2.144221
1.181098,0.976281,-0.119211,0.115489,-0.209665,0.122108,0.144221,0.968777,1.144221,1.815447,2.144221
1.181368,0.976249,-0.11918,0.115433,-0.209514,0.12208,0.144221,0.968556,1.144221,1.815032,2.144221
1.181638,0.976217,-0.119149,0.115376,-0.209364,0.122052,0.144221,0.968335,1.144221,1.814617,2.144221
1.181908,0.976184,-0.119118,0.11532,-0.209213,0.122024,0.144221,0.968113,1.144221,1.814203,2.144221
1.182178,0.976152,-0.119087,0.115263,-0.209063,0.121996,0.144221,0.967892,1.144221,1.813788,2.144221
1.182448,0.97612,-0.119056,0.115207,-0.208913,0.121968,0.144221,0.967671,1.144221,1.813374,2.144221
1.182718,0.976088,-0.119025,0.11515,-0.208763,0.12194,0.144221,0.96745,1.144221,1.81296,2.144221
1.182988,0.976056,-0.118993,0.115094,-0.208613,0.121913,0.144221,0.967229,1.144221,1.812546,2.144221
1.183258,0.976024,-0.118962,0.115038,-0.208464,0.121885,0.144221,0.967009,1.144221,1.812133,2.144221
1.183528,0.975992,-0.118931,0.114981,-0.208314,0.121857,0.144221,0.966788,1.144221,1.811719,2.144221
1.183798,0.97596,-0.1189,0.114925,-0.208165,0.121829,0.144221,0.966568,1.144221,1.811306,2.144221
1.184068,0.975927,-0.118869,0.114869,-0.208015,0.121801,0.144221,0.966347,1.144221,1.810893,2.144221
1.184338,0.975895,-0.118838,0.114813,-0.207866,0.121774,0.144221,0.966127,1.144221,1.81048,2.144221
1.184608,0.975863,-0.118807,0.114757,-0.207717,0.121746,0.144221,0.965907,1.144221,1.810067,2.144221
1.184878,0.975831,-0.118776,0.114701,-0.207569,0.121718,0.144221,0.965686,1.144221,1.809655,2.144221
1.185149,0.975799,-0.118745,0.114645,-0.20742,0.12169,0.144221,0.965466,1.144221,1.809243,2.144221
1.185419,0.975767,-0.118714,0.114589,-0.207271,0.121663,0.144221,0.965247,1.144221,1.80883,2.144221
1.185689,0.975735,-0.118683,0.114533,-0.207123,0.121635,0.144221,0.965027,1.144221,1.808419,2.144221
1.185959,0.975703,-0.118653,0.114477,-0.206975,0.121607,0.144221,0.964807,1.144221,1.808007,2.144221
1.186229,0.975671,-0.118622,0.114421,-0.206827,0.12158,0.144221,0.964587,1.144221,1.807595,2.144221
1.186499,0.975639,-0.118591,0.114365,-0.206679,0.121552,0.144221,0.964368,1.144221,1.807184,2.144221
1.186769,0.975607,-0.11856,0.114309,-0.206531,0.121524,0.144221,0.964148,1.144221,1.806773,2.144221
1.187039,0.975575,-0.118529,0.114254,-0.206383,0.121497,0.144221,0.963929,1.144221,1.806362,2.144221
1.187309,0.975543,-0.118498,0.114198,-0.206236,0.121469,0.144221,0.96371,1.144221,1.805951,2.144221
1.187579,0.975511,-0.118467,0.114142,-0.206088,0.121441,0.144221,0.963491,1.144221,1.80554,2.144221
1.187849,0.975479,-0.118437,0.114087,-0.205941,0.121414,0.144221,0.963272,1.144221,1.80513,2.144221
1.188119,0.975447,-0.118406,0.114031,-0.205794,0.121386,0.144221,0.963053,1.144221,1.804719,2.144221
1.188389,0.975415,-0.118375,0.113975,-0.205647,0.121359,0.144221,0.962834,1.144221,1.804309,2.144221
1.188659,0.975383,-0.118344,0.11392,-0.2055,0.121331,0.144221,0.962615,1.144221,1.8039,2.144221
1.188929,0.975351,-0.118313,0.113864,-0.205353,0.121303,0.144221,0.962397,1.144221,1.80349,2.144221
1.189199,0.975319,-0.118283,0.113809,-0.205207,0.121276,0.144221,0.962178,1.144221,1.80308,2.144221
1.189469,0.975287,-0.118252,0.113754,-0.20506,0.121248,0.144221,0.96196,1.144221,1.802671,2.144221
1.189739,0.975255,-0.118221,0.113698,-0.204914,0.121221,0.144221,0.961741,1.144221,1.802262,2.144221
