R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT,A5,R5,A6,R6
1.17,0.7683952,-1.02461708,3.08473345,-12.35409911,1.33345065,1.56013726,3.01062076,3.52242629,4.00491624,4.685752,5.05197584,5.91081174,6.05438532,7.08363083
1.17006667,0.7683269,-1.02441146,3.08390999,-12.34993911,1.33330156,1.56005171,3.01042121,3.52239351,4.0046367,4.68569191,5.05163825,5.91075353,6.05398986,7.08357174
1.17013333,0.76825862,-1.02420589,3.0830868,-12.34578078,1.3331525,1.55996618,3.01022169,3.52236074,4.00435719,4.68563183,5.05130071,5.91069534,6.05359445,7.08351265
1.1702,0.76819034,-1.02400038,3.08226388,-12.34162414,1.33300346,1.55988065,3.0100222,3.52232798,4.00407772,4.68557175,5.0509632,5.91063714,6.05319908,7.08345357
1.17026667,0.76812208,-1.02379492,3.08144125,-12.33746917,1.33285444,1.55979512,3.00982274,3.52229523,4.00379828,4.68551167,5.05062574,5.91057895,6.05280377,7.08339449
1.17033333,0.76805384,-1.02358952,3.08061889,-12.33331588,1.33270544,1.5597096,3.00962331,3.52226248,4.00351888,4.6854516,5.05028832,5.91052076,6.0524085,7.08333542
1.1704,0.7679856,-1.02338418,3.0797968,-12.32916426,1.33255646,1.55962408,3.00942391,3.52222974,4.00323952,4.68539153,5.04995094,5.91046258,6.05201328,7.08327635
1.17046667,0.76791738,-1.02317888,3.078975,-12.32501432,1.3324075,1.55953857,3.00922453,3.52219701,4.00296018,4.68533146,5.0496136,5.9104044,6.05161811,7.08321728
1.17053333,0.76784918,-1.02297365,3.07815347,-12.32086606,1.33225856,1.55945306,3.00902519,3.52216429,4.00268089,4.6852714,5.04927631,5.91034623,6.05122299,7.08315822
1.1706,0.76778099,-1.02276846,3.07733221,-12.31671946,1.33210965,1.55936755,3.00882588,3.52213157,4.00240163,4.68521134,5.04893906,5.91028806,6.05082792,7.08309916
1.17066667,0.76771281,-1.02256333,3.07651124,-12.31257454,1.33196075,1.55928206,3.00862659,3.52209886,4.0021224,4.68515129,5.04860185,5.91022989,6.05043289,7.08304011
1.17073333,0.76764465,-1.02235826,3.07569054,-12.30843129,1.33181188,1.55919656,3.00842733,3.52206616,4.00184321,4.68509124,5.04826468,5.91017173,6.05003792,7.08298106
1.1708,0.7675765,-1.02215324,3.07487011,-12.30428971,1.33166303,1.55911108,3.00822811,3.52203347,4.00156405,4.68503119,5.04792755,5.91011358,6.04964299,7.08292201
1.17086667,0.76750836,-1.02194828,3.07404997,-12.3001498,1.3315142,1.55902559,3.00802891,3.52200078,4.00128493,4.68497115,5.04759047,5.91005542,6.04924811,7.08286297
1.17093333,0.76744024,-1.02174337,3.07323009,-12.29601156,1.33136539,1.55894011,3.00782974,3.52196811,4.00100584,4.68491111,5.04725342,5.90999727,6.04885328,7.08280393
1.171,0.76737213,-1.02153851,3.0724105,-12.29187499,1.3312166,1.55885464,3.0076306,3.52193544,4.00072679,4.68485107,5.04691642,5.90993913,6.0484585,7.0827449
1.17106667,0.76730403,-1.02133371,3.07159118,-12.28774008,1.33106783,1.55876917,3.00743149,3.52190277,4.00044777,4.68479104,5.04657946,5.90988099,6.04806376,7.08268587
1.17113333,0.76723595,-1.02112897,3.07077213,-12.28360685,1.33091909,1.55868371,3.00723241,3.52187012,4.00016879,4.68473101,5.04624255,5.90982285,6.04766908,7.08262685
1.1712,0.76716788,-1.02092428,3.06995336,-12.27947528,1.33077036,1.55859825,3.00703336,3.52183747,3.99988984,4.68467098,5.04590567,5.90976472,6.04727444,7.08256783
1.17126667,0.76709983,-1.02071964,3.06913487,-12.27534537,1.33062166,1.55851279,3.00683434,3.52180483,3.99961093,4.68461096,5.04556884,5.90970659,6.04687985,7.08250881
1.17133333,0.76703178,-1.02051506,3.06831665,-12.27121713,1.33047297,1.55842734,3.00663535,3.5217722,3.99933205,4.68455095,5.04523205,5.90964847,6.04648531,7.0824498
1.1714,0.76696376,-1.02031053,3.06749871,-12.26709055,1.33032431,1.5583419,3.00643638,3.52173958,3.99905321,4.68449093,5.0448953,5.90959035,6.04609082,7.08239079
1.17146667,0.76689574,-1.02010606,3.06668104,-12.26296564,1.33017567,1.55825646,3.00623745,3.52170696,3.9987744,4.68443092,5.04455859,5.90953224,6.04569638,7.08233178
1.17153333,0.76682774,-1.01990164,3.06586364,-12.25884239,1.33002705,1.55817102,3.00603854,3.52167435,3.99849563,4.68437091,5.04422192,5.90947412,6.04530198,7.08227278
1.1716,0.76675976,-1.01969728,3.06504653,-12.25472079,1.32987845,1.55808559,3.00583967,3.52164175,3.99821689,4.68431091,5.0438853,5.90941602,6.04490764,7.08221379
1.17166667,0.76669178,-1.01949297,3.06422968,-12.25060086,1.32972987,1.55800017,3.00564082,3.52160916,3.99793819,4.68425091,5.04354872,5.90935792,6.04451334,7.08215479
1.17173333,0.76662382,-1.01928871,3.06341311,-12.24648259,1.32958132,1.55791475,3.005442,3.52157657,3.99765952,4.68419092,5.04321218,5.90929982,6.04411909,7.08209581
1.1718,0.76655588,-1.01908451,3.06259682,-12.24236598,1.32943278,1.55782933,3.00524321,3.521544,3.99738089,4.68413092,5.04287568,5.90924172,6.04372489,7.08203682
1.17186667,0.76648795,-1.01888037,3.0617808,-12.23825103,1.32928427,1.55774392,3.00504445,3.52151142,3.99710229,4.68407093,5.04253922,5.90918363,6.04333073,7.08197784
1.17193333,0.76642003,-1.01867628,3.06096505,-12.23413773,1.32913577,1.55765852,3.00484572,3.52147886,3.99682372,4.68401095,5.04220281,5.90912555,6.04293663,7.08191886
1.172,0.76635212,-1.01847224,3.06014958,-12.2300261,1.3289873,1.55757312,3.00464702,3.52144631,3.9965452,4.68395097,5.04186644,5.90906746,6.04254257,7.08185989
1.17206667,0.76628423,-1.01826826,3.05933438,-12.22591611,1.32883885,1.55748772,3.00444835,3.52141376,3.9962667,4.68389099,5.04153011,5.90900939,6.04214856,7.08180092
1.17213333,0.76621635,-1.01806433,3.05851946,-12.22180779,1.32869042,1.55740233,3.0042497,3.52138122,3.99598824,4.68383102,5.04119382,5.90895131,6.0417546,7.08174196
1.1722,0.76614849,-1.01786045,3.05770481,-12.21770111,1.32854201,1.55731694,3.00405109,3.52134869,3.99570982,4.68377105,5.04085757,5.90889324,6.04136069,7.081683
1.17226667,0.76608064,-1.01765663,3.05689043,-12.21359609,1.32839362,1.55723156,3.0038525,3.52131616,3.99543143,4.68371108,5.04052136,5.90883518,6.04096683,7.08162404
1.17233333,0.7660128,-1.01745287,3.05607633,-12.20949273,1.32824525,1.55714619,3.00365395,3.52128365,3.99515307,4.68365112,5.0401852,5.90877712,6.04057301,7.08156509
1.1724,0.76594498,-1.01724916,3.0552625,-12.20539101,1.32809691,1.55706081,3.00345542,3.52125114,3.99487475,4.68359116,5.03984908,5.90871906,6.04017924,7.08150614
1.17246667,0.76587717,-1.0170455,3.05444894,-12.20129095,1.32794858,1.55697545,3.00325692,3.52121864,3.99459647,4.6835312,5.039513,5.90866101,6.03978552,7.0814472
1.17253333,0.76580937,-1.0168419,3.05363566,-12.19719254,1.32780028,1.55689009,3.00305846,3.52118614,3.99431822,4.68347125,5.03917696,5.90860296,6.03939185,7.08138826
1.1726,0.76574159,-1.01663835,3.05282265,-12.19309577,1.32765199,1.55680473,3.00286002,3.52115365,3.99404,4.6834113,5.03884096,5.90854492,6.03899823,7.08132933
1.17266667,0.76567382,-1.01643485,3.05200991,-12.18900066,1.32750373,1.55671938,3.00266161,3.52112118,3.99376182,4.68335136,5.03850501,5.90848688,6.03860466,7.08127039
1.17273333,0.76560607,-1.01623141,3.05119745,-12.1849072,1.32735549,1.55663403,3.00246322,3.52108871,3.99348367,4.68329142,5.0381691,5.90842884,6.03821113,7.08121147
1.1728,0.76553832,-1.01602803,3.05038526,-12.18081538,1.32720727,1.55654869,3.00226487,3.52105624,3.99320556,4.68323148,5.03783323,5.90837081,6.03781765,7.08115254
1.17286667,0.76547059,-1.0158247,3.04957334,-12.17672521,1.32705907,1.55646335,3.00206655,3.52102379,3.99292748,4.68317155,5.0374974,5.90831278,6.03742422,7.08109362
1.17293333,0.76540288,-1.01562142,3.04876169,-12.17263668,1.32691089,1.55637802,3.00186825,3.52099134,3.99264944,4.68311162,5.03716161,5.90825476,6.03703084,7.08103471
1.173,0.76533518,-1.01541819,3.04795032,-12.1685498,1.32676274,1.55629269,3.00166999,3.5209589,3.99237144,4.68305169,5.03682586,5.90819674,6.03663751,7.0809758
1.17306667,0.76526749,-1.01521502,3.04713922,-12.16446456,1.3266146,1.55620737,3.00147175,3.52092646,3.99209346,4.68299177,5.03649016,5.90813872,6.03624422,7.08091689
1.17313333,0.76519982,-1.01501191,3.04632839,-12.16038097,1.32646648,1.55612205,3.00127355,3.52089404,3.99181552,4.68293185,5.0361545,5.90808071,6.03585099,7.08085799
1.1732,0.76513216,-1.01480885,3.04551784,-12.15629902,1.32631839,1.55603673,3.00107537,3.52086162,3.99153762,4.68287194,5.03581888,5.9080227,6.0354578,7.08079909
1.17326667,0.76506451,-1.01460584,3.04470755,-12.15221872,1.32617031,1.55595142,3.00087722,3.52082921,3.99125975,4.68281203,5.0354833,5.9079647,6.03506466,7.08074019
1.17333333,0.76499687,-1.01440289,3.04389754,-12.14814005,1.32602226,1.55586612,3.0006791,3.52079681,3.99098192,4.68275212,5.03514776,5.9079067,6.03467156,7.0806813
1.1734,0.76492925,-1.01419999,3.0430878,-12.14406303,1.32587423,1.55578082,3.00048101,3.52076442,3.99070412,4.68269221,5.03481226,5.90784871,6.03427852,7.08062241
1.17346667,0.76486165,-1.01399714,3.04227833,-12.13998764,1.32572622,1.55569553,3.00028295,3.52073203,3.99042636,4.68263231,5.03447681,5.90779072,6.03388552,7.08056353
1.17353333,0.76479406,-1.01379435,3.04146914,-12.13591389,1.32557823,1.55561024,3.00008491,3.52069965,3.99014863,4.68257242,5.0341414,5.90773273,6.03349257,7.08050465
1.1736,0.76472648,-1.01359161,3.04066021,-12.13184179,1.32543026,1.55552495,2.99988691,3.52066728,3.98987093,4.68251252,5.03380603,5.90767475,6.03309967,7.08044578
1.17366667,0.76465891,-1.01338893,3.03985156,-12.12777132,1.32528231,1.55543968,2.99968894,3.52063491,3.98959327,4.68245264,5.0334707,5.90761677,6.03270682,7.08038691
1.17373333,0.76459136,-1.0131863,3.03904317,-12.12370248,1.32513439,1.5553544,2.99949099,3.52060256,3.98931564,4.68239275,5.03313541,5.9075588,6.03231402,7.08032804
1.1738,0.76452382,-1.01298372,3.03823506,-12.11963528,1.32498648,1.55526913,2.99929307,3.52057021,3.98903805,4.68233287,5.03280016,5.90750083,6.03192126,7.08026918
1.17386667,0.76445629,-1.0127812,3.03742722,-12.11556972,1.3248386,1.55518387,2.99909518,3.52053787,3.9887605,4.68227299,5.03246496,5.90744287,6.03152855,7.08021032
1.17393333,0.76438878,-1.01257873,3.03661965,-12.11150579,1.32469073,1.55509861,2.99889733,3.52050553,3.98848298,4.68221311,5.0321298,5.9073849,6.03113589,7.08015146
1.174,0.76432128,-1.01237632,3.03581236,-12.1074435,1.32454289,1.55501335,2.9986995,3.52047321,3.98820549,4.68215324,5.03179467,5.90732695,6.03074328,7.08009261
1.17406667,0.7642538,-1.01217396,3.03500533,-12.10338284,1.32439507,1.5549281,2.9985017,3.52044089,3.98792804,4.68209338,5.03145959,5.90726899,6.03035072,7.08003377
1.17413333,0.76418633,-1.01197165,3.03419857,-12.09932381,1.32424726,1.55484285,2.99830392,3.52040858,3.98765062,4.68203351,5.03112456,5.90721105,6.0299582,7.07997492
1.1742,0.76411887,-1.0117694,3.03339208,-12.09526641,1.32409948,1.55475761,2.99810618,3.52037628,3.98737323,4.68197365,5.03078956,5.9071531,6.02956574,7.07991609
1.17426667,0.76405142,-1.0115672,3.03258587,-12.09121064,1.32395172,1.55467238,2.99790847,3.52034398,3.98709589,4.6819138,5.03045461,5.90709516,6.02917332,7.07985725
1.17433333,0.76398399,-1.01136505,3.03177992,-12.0871565,1.32380399,1.55458715,2.99771078,3.52031169,3.98681857,4.68185394,5.03011969,5.90703723,6.02878094,7.07979842
1.1744,0.76391657,-1.01116296,3.03097425,-12.083104,1.32365627,1.55450192,2.99751312,3.52027941,3.98654129,4.68179409,5.02978482,5.90697929,6.02838862,7.0797396
1.17446667,0.76384917,-1.01096092,3.03016884,-12.07905311,1.32350857,1.5544167,2.9973155,3.52024714,3.98626405,4.68173425,5.02944999,5.90692137,6.02799634,7.07968077
1.17453333,0.76378178,-1.01075894,3.02936371,-12.07500386,1.32336089,1.55433148,2.9971179,3.52021488,3.98598684,4.68167441,5.0291152,5.90686344,6.02760412,7.07962196
1.1746,0.7637144,-1.01055701,3.02855884,-12.07095624,1.32321324,1.55424627,2.99692033,3.52018262,3.98570966,4.68161457,5.02878046,5.90680552,6.02721194,7.07956314
1.17466667,0.76364704,-1.01035513,3.02775425,-12.06691024,1.3230656,1.55416106,2.99672279,3.52015037,3.98543252,4.68155473,5.02844575,5.90674761,6.0268198,7.07950433
1.17473333,0.76357969,-1.01015331,3.02694992,-12.06286586,1.32291799,1.55407586,2.99652528,3.52011813,3.98515541,4.6814949,5.02811109,5.9066897,6.02642772,7.07944552
