Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,4.4,1.53,0.42
RRA,3.52,1.53,0.51
AP,9.47,7.17,7.98
RP,7.58,7.17,9.57
AT,11.73,7.66,6.33
RT,9.38,7.66,7.6
A5,14.24,9.35,6.28
R5,11.39,9.35,7.53
A6,16.58,11.32,8.33
R6,13.26,11.32,10
