R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT,A5,R5,A6,R6
1.17,0.99034358,-1.125e-05,0.01424207,-9.10395906,1.136e-05,1.329e-05,1265.90218933,1481.10556152,639.23024149,747.89938254,5.12031895,5.99077317,5.0110858,5.86297039
1.17006667,0.99034358,-1.032e-05,0.01363524,-9.1008519,1.042e-05,1.219e-05,1321.07971165,1545.75133461,667.45087173,780.96201665,5.12035647,5.99115843,5.00972396,5.86171102
1.17013333,0.99034358,-9.43e-06,0.01302862,-9.09774578,9.52e-06,1.114e-05,1381.24918396,1616.24571179,698.28935737,817.09165337,5.12039448,5.99154426,5.00836238,5.86045177
1.1702,0.99034358,-8.58e-06,0.01242221,-9.09464069,8.67e-06,1.014e-05,1447.11296043,1693.4115863,732.12767716,856.73580782,5.12043296,5.99193065,5.00700107,5.85919265
1.17026667,0.99034358,-7.78e-06,0.011816,-9.09153665,7.85e-06,9.19e-06,1519.50999306,1778.23189454,769.42592328,900.43351049,5.12047192,5.9923176,5.00564002,5.85793366
1.17033333,0.99034358,-7.01e-06,0.01121,-9.08843363,7.08e-06,8.28e-06,1599.45023269,1871.88992233,810.74334454,948.83996089,5.12051136,5.99270513,5.00427923,5.8566748
1.1704,0.99034358,-6.28e-06,0.01060421,-9.08533166,6.34e-06,7.42e-06,1688.15977815,1975.82220435,856.7665797,1002.75960488,5.12055127,5.99309321,5.00291871,5.85541606
1.17046667,0.99034358,-5.59e-06,0.00999862,-9.08223071,5.65e-06,6.61e-06,1787.1408069,2091.78874311,908.34812015,1063.19119636,5.12059167,5.99348186,5.00155845,5.85415745
1.17053333,0.99034358,-4.95e-06,0.00939324,-9.0791308,5e-06,5.85e-06,1898.2520856,2221.96734126,966.55960369,1131.39023478,5.12063254,5.99387108,5.00019846,5.85289897
1.1706,0.99034357,-4.34e-06,0.00878807,-9.07603193,4.38e-06,5.13e-06,2023.81849545,2369.08193077,1032.76706976,1208.95713186,5.1206739,5.99426086,4.99883873,5.85164061
1.17066667,0.99034357,-3.78e-06,0.00818311,-9.07293408,3.81e-06,4.46e-06,2166.7819716,2536.57942808,1108.73951284,1297.9643897,5.12071573,5.99465121,4.99747926,5.85038239
1.17073333,0.99034357,-3.25e-06,0.00757835,-9.06983727,3.28e-06,3.84e-06,2330.91222937,2728.87664399,1196.80929179,1401.14453154,5.12075804,5.99504213,4.99612006,5.84912429
1.1708,0.99034357,-2.77e-06,0.0069738,-9.06674149,2.79e-06,3.27e-06,2521.10455501,2951.709213,1300.11579499,1522.17557277,5.12080083,5.99543361,4.99476112,5.84786632
1.17086667,0.99034357,-2.32e-06,0.00636945,-9.06364674,2.34e-06,2.74e-06,2743.80474228,3212.62951258,1422.98754875,1666.12868791,5.12084409,5.99582566,4.99340245,5.84660849
1.17093333,0.99034357,-1.92e-06,0.00576531,-9.06055302,1.94e-06,2.27e-06,3007.61777008,3521.71990091,1571.56413739,1840.19683394,5.12088784,5.99621827,4.99204405,5.84535078
1.171,0.99034357,-1.55e-06,0.00516138,-9.05746033,1.57e-06,1.84e-06,3324.1708425,3892.60405657,1754.8540375,2054.93407792,5.12093207,5.99661145,4.99068591,5.8440932
1.17106667,0.99034357,-1.23e-06,0.00455765,-9.05436867,1.24e-06,1.45e-06,3709.28208412,4343.81660598,1986.63197934,2326.47848993,5.12097677,5.9970052,4.98932804,5.84283576
1.17113333,0.99034357,-9.4e-07,0.00395413,-9.05127803,9.5e-07,1.12e-06,4184.30659002,4900.38092446,2289.07164249,2680.80810291,5.12102196,5.99739951,4.98797043,5.84157844
1.1712,0.99034357,-7e-07,0.00335081,-9.04818843,7.1e-07,8.3e-07,4776.68541381,5594.45395665,2700.29837476,3162.58945652,5.12106762,5.9977944,4.98661309,5.84032126
1.17126667,0.99034357,-5e-07,0.0027477,-9.04509985,5e-07,5.9e-07,5515.14333346,6459.70354837,3291.87922836,3855.66841087,5.12111376,5.99818985,4.98525602,5.8390642
1.17133333,0.99034357,-3.4e-07,0.0021448,-9.0420123,3.4e-07,4e-07,6399.93209186,7496.45379027,4215.78879811,4938.09394552,5.12116039,5.99858587,4.98389922,5.83780728
1.1714,0.99034357,-2.1e-07,0.0015421,-9.03892577,2.1e-07,2.5e-07,7266.07729375,8511.4829419,5861.44196169,6866.09311392,5.12120749,5.99898245,4.98254268,5.83655049
1.17146667,0.99034357,-1.3e-07,0.00093961,-9.03584027,1.3e-07,1.5e-07,7255.07588808,8499.07956702,9616.61513445,11265.54407618,5.12125507,5.99937961,4.98118641,5.83529383
