Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,2.66,1.8,1.27
RRA,2.13,1.8,1.52
AP,4.79,3.63,2.92
RP,3.84,3.63,3.51
AT,6.37,4.85,3.88
RT,5.1,4.85,4.66
A5,7.9,6.07,4.9
R5,6.32,6.07,5.89
A6,9.37,7.25,5.88
R6,7.49,7.25,7.06
