R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT
1.17,0.75313009,-1.16239488,2.78756159,-9.06743653,1.54341845,1.80579959,2.3981193,2.80579959,3.25282016,3.80579959
1.17006667,0.7530526,-1.16220906,2.78695718,-9.06495396,1.54333051,1.80579959,2.39798267,2.80579959,3.25263482,3.80579959
1.17013333,0.75297513,-1.16202328,2.78635293,-9.06247222,1.54324258,1.80579959,2.39784605,2.80579959,3.25244951,3.80579959
1.1702,0.75289767,-1.16183754,2.78574885,-9.05999129,1.54315466,1.80579959,2.39770944,2.80579959,3.25226422,3.80579959
1.17026667,0.75282022,-1.16165185,2.78514493,-9.05751118,1.54306675,1.80579959,2.39757285,2.80579959,3.25207894,3.80579959
1.17033333,0.75274278,-1.16146619,2.78454118,-9.0550319,1.54297885,1.80579959,2.39743627,2.80579959,3.25189369,3.80579959
1.1704,0.75266535,-1.16128058,2.78393759,-9.05255343,1.54289097,1.80579959,2.39729971,2.80579959,3.25170846,3.80579959
1.17046667,0.75258794,-1.161095,2.78333417,-9.05007579,1.54280309,1.80579959,2.39716317,2.80579959,3.25152326,3.80579959
1.17053333,0.75251054,-1.16090946,2.78273092,-9.04759896,1.54271522,1.80579959,2.39702664,2.80579959,3.25133807,3.80579959
1.1706,0.75243315,-1.16072397,2.78212782,-9.04512295,1.54262736,1.80579959,2.39689013,2.80579959,3.2511529,3.80579959
1.17066667,0.75235578,-1.16053851,2.7815249,-9.04264776,1.54253951,1.80579959,2.39675363,2.80579959,3.25096776,3.80579959
1.17073333,0.75227842,-1.1603531,2.78092214,-9.04017339,1.54245167,1.80579959,2.39661715,2.80579959,3.25078263,3.80579959
1.1708,0.75220106,-1.16016772,2.78031954,-9.03769983,1.54236384,1.80579959,2.39648069,2.80579959,3.25059753,3.80579959
1.17086667,0.75212373,-1.15998239,2.77971711,-9.0352271,1.54227602,1.80579959,2.39634423,2.80579959,3.25041245,3.80579959
1.17093333,0.7520464,-1.1597971,2.77911485,-9.03275518,1.54218821,1.80579959,2.3962078,2.80579959,3.25022739,3.80579959
1.171,0.75196909,-1.15961184,2.77851274,-9.03028408,1.54210042,1.80579959,2.39607138,2.80579959,3.25004235,3.80579959
1.17106667,0.75189179,-1.15942663,2.77791081,-9.02781379,1.54201263,1.80579959,2.39593498,2.80579959,3.24985733,3.80579959
1.17113333,0.7518145,-1.15924145,2.77730904,-9.02534432,1.54192485,1.80579959,2.39579859,2.80579959,3.24967233,3.80579959
1.1712,0.75173722,-1.15905632,2.77670743,-9.02287567,1.54183708,1.80579959,2.39566222,2.80579959,3.24948735,3.80579959
1.17126667,0.75165996,-1.15887123,2.77610599,-9.02040783,1.54174932,1.80579959,2.39552586,2.80579959,3.2493024,3.80579959
1.17133333,0.7515827,-1.15868617,2.77550471,-9.01794081,1.54166157,1.80579959,2.39538952,2.80579959,3.24911746,3.80579959
1.1714,0.75150546,-1.15850116,2.77490359,-9.0154746,1.54157383,1.80579959,2.39525319,2.80579959,3.24893255,3.80579959
1.17146667,0.75142824,-1.15831618,2.77430264,-9.01300921,1.5414861,1.80579959,2.39511688,2.80579959,3.24874766,3.80579959
1.17153333,0.75135102,-1.15813125,2.77370186,-9.01054463,1.54139838,1.80579959,2.39498058,2.80579959,3.24856278,3.80579959
1.1716,0.75127382,-1.15794636,2.77310124,-9.00808087,1.54131067,1.80579959,2.3948443,2.80579959,3.24837793,3.80579959
1.17166667,0.75119663,-1.1577615,2.77250078,-9.00561792,1.54122298,1.80579959,2.39470804,2.80579959,3.2481931,3.80579959
1.17173333,0.75111945,-1.15757669,2.77190049,-9.00315578,1.54113529,1.80579959,2.39457179,2.80579959,3.2480083,3.80579959
1.1718,0.75104229,-1.15739192,2.77130036,-9.00069446,1.54104761,1.80579959,2.39443556,2.80579959,3.24782351,3.80579959
1.17186667,0.75096513,-1.15720718,2.7707004,-8.99823395,1.54095994,1.80579959,2.39429934,2.80579959,3.24763874,3.80579959
1.17193333,0.75088799,-1.15702249,2.7701006,-8.99577425,1.54087228,1.80579959,2.39416314,2.80579959,3.247454,3.80579959
1.172,0.75081086,-1.15683784,2.76950096,-8.99331536,1.54078463,1.80579959,2.39402695,2.80579959,3.24726927,3.80579959
1.17206667,0.75073375,-1.15665322,2.76890149,-8.99085729,1.54069699,1.80579959,2.39389078,2.80579959,3.24708457,3.80579959
1.17213333,0.75065664,-1.15646865,2.76830218,-8.98840003,1.54060936,1.80579959,2.39375462,2.80579959,3.24689989,3.80579959
1.1722,0.75057955,-1.15628412,2.76770303,-8.98594358,1.54052174,1.80579959,2.39361848,2.80579959,3.24671522,3.80579959
1.17226667,0.75050247,-1.15609962,2.76710405,-8.98348794,1.54043413,1.80579959,2.39348236,2.80579959,3.24653058,3.80579959
1.17233333,0.7504254,-1.15591517,2.76650524,-8.98103311,1.54034653,1.80579959,2.39334625,2.80579959,3.24634596,3.80579959
1.1724,0.75034835,-1.15573076,2.76590658,-8.97857909,1.54025894,1.80579959,2.39321016,2.80579959,3.24616137,3.80579959
