Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,0.21,0.14,0.1
RRA,0.17,0.14,0.12
AP,2.34,1.98,1.76
RP,1.88,1.98,2.11
AT,3.34,2.69,2.25
RT,2.67,2.69,2.7
A5,4.57,3.66,3.05
R5,3.66,3.66,3.66
A6,5.82,4.66,3.88
R6,4.66,4.66,4.66
