R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT,A5,R5,A6,R6
1.17413333,0.97867578,-0.10387046,0.18490913,-0.42547905,0.10613368,0.12461509,1.78018973,2.0901801,2.30101699,2.70170075,3.12070056,3.66411855,3.96497424,4.65540842
1.1742,0.97866885,-0.10385814,0.18488077,-0.42539054,0.10612184,0.12460826,1.78012793,2.09022621,2.30089126,2.70170651,3.12052493,3.66412037,3.9647493,4.65540863
1.17426667,0.97866193,-0.10384581,0.18485241,-0.42530205,0.10610999,0.12460143,1.78006613,2.09027232,2.30076554,2.70171228,3.12034931,3.66412218,3.96452438,4.65540883
1.17433333,0.97865501,-0.10383349,0.18482406,-0.42521359,0.10609815,0.1245946,1.78000434,2.09031843,2.30063983,2.70171804,3.12017371,3.66412399,3.96429949,4.65540903
1.1744,0.97864808,-0.10382117,0.18479572,-0.42512516,0.10608631,0.12458777,1.77994256,2.09036455,2.30051414,2.70172381,3.11999813,3.66412581,3.96407462,4.65540923
1.17446667,0.97864116,-0.10380885,0.18476738,-0.42503674,0.10607448,0.12458094,1.7798808,2.09041067,2.30038847,2.70172958,3.11982257,3.66412762,3.96384978,4.65540943
1.17453333,0.97863424,-0.10379653,0.18473904,-0.42494835,0.10606264,0.12457411,1.77981904,2.09045679,2.30026281,2.70173534,3.11964704,3.66412943,3.96362496,4.65540964
1.1746,0.97862732,-0.10378422,0.18471072,-0.42485998,0.10605081,0.12456728,1.77975729,2.09050291,2.30013716,2.70174111,3.11947152,3.66413125,3.96340017,4.65540984
1.17466667,0.97862041,-0.1037719,0.1846824,-0.42477164,0.10603897,0.12456045,1.77969555,2.09054904,2.30001153,2.70174688,3.11929602,3.66413306,3.96317541,4.65541004
1.17473333,0.97861349,-0.10375959,0.18465408,-0.42468332,0.10602714,0.12455362,1.77963382,2.09059517,2.29988591,2.70175265,3.11912054,3.66413487,3.96295067,4.65541025
1.1748,0.97860657,-0.10374728,0.18462577,-0.42459502,0.10601531,0.12454679,1.7795721,2.09064131,2.29976031,2.70175841,3.11894509,3.66413669,3.96272595,4.65541045
1.17486667,0.97859965,-0.10373498,0.18459747,-0.42450675,0.10600349,0.12453996,1.77951039,2.09068745,2.29963472,2.70176418,3.11876965,3.6641385,3.96250127,4.65541065
1.17493333,0.97859274,-0.10372267,0.18456917,-0.4244185,0.10599166,0.12453314,1.7794487,2.09073359,2.29950915,2.70176995,3.11859423,3.66414032,3.9622766,4.65541086
1.175,0.97858583,-0.10371037,0.18454088,-0.42433027,0.10597984,0.12452631,1.77938701,2.09077973,2.29938359,2.70177572,3.11841884,3.66414213,3.96205197,4.65541106
1.17506667,0.97857891,-0.10369806,0.18451259,-0.42424206,0.10596801,0.12451948,1.77932533,2.09082588,2.29925805,2.70178149,3.11824346,3.66414395,3.96182736,4.65541127
1.17513333,0.978572,-0.10368576,0.18448431,-0.42415388,0.10595619,0.12451266,1.77926365,2.09087203,2.29913252,2.70178726,3.1180681,3.66414576,3.96160277,4.65541147
1.1752,0.97856509,-0.10367347,0.18445604,-0.42406572,0.10594438,0.12450583,1.77920199,2.09091818,2.299007,2.70179303,3.11789277,3.66414758,3.96137821,4.65541168
1.17526667,0.97855818,-0.10366117,0.18442777,-0.42397759,0.10593256,0.124499,1.77914034,2.09096434,2.2988815,2.7017988,3.11771745,3.66414939,3.96115368,4.65541188
1.17533333,0.97855127,-0.10364888,0.18439951,-0.42388948,0.10592074,0.12449218,1.7790787,2.0910105,2.29875601,2.70180457,3.11754215,3.66415121,3.96092917,4.65541209
1.1754,0.97854436,-0.10363658,0.18437125,-0.42380139,0.10590893,0.12448535,1.77901707,2.09105666,2.29863054,2.70181034,3.11736688,3.66415303,3.96070469,4.65541229
1.17546667,0.97853745,-0.10362429,0.184343,-0.42371333,0.10589712,0.12447853,1.77895545,2.09110283,2.29850508,2.70181611,3.11719162,3.66415484,3.96048023,4.6554125
1.17553333,0.97853054,-0.10361201,0.18431476,-0.42362529,0.10588531,0.12447171,1.77889384,2.091149,2.29837964,2.70182188,3.11701638,3.66415666,3.9602558,4.6554127
1.1756,0.97852363,-0.10359972,0.18428652,-0.42353727,0.1058735,0.12446488,1.77883223,2.09119517,2.29825421,2.70182765,3.11684117,3.66415848,3.9600314,4.65541291
1.17566667,0.97851673,-0.10358743,0.18425829,-0.42344927,0.10586169,0.12445806,1.77877064,2.09124135,2.2981288,2.70183342,3.11666597,3.66416029,3.95980702,4.65541312
1.17573333,0.97850982,-0.10357515,0.18423006,-0.4233613,0.10584988,0.12445124,1.77870906,2.09128753,2.2980034,2.70183919,3.1164908,3.66416211,3.95958266,4.65541332
1.1758,0.97850292,-0.10356287,0.18420184,-0.42327335,0.10583808,0.12444441,1.77864748,2.09133371,2.29787801,2.70184497,3.11631564,3.66416393,3.95935833,4.65541353
1.17586667,0.97849601,-0.10355059,0.18417362,-0.42318543,0.10582628,0.12443759,1.77858592,2.0913799,2.29775264,2.70185074,3.1161405,3.66416575,3.95913403,4.65541374
1.17593333,0.97848911,-0.10353831,0.18414541,-0.42309752,0.10581448,0.12443077,1.77852437,2.09142609,2.29762729,2.70185651,3.11596539,3.66416757,3.95890975,4.65541394
1.176,0.97848221,-0.10352604,0.18411721,-0.42300965,0.10580268,0.12442395,1.77846282,2.09147228,2.29750194,2.70186229,3.11579029,3.66416939,3.9586855,4.65541415
1.17606667,0.97847531,-0.10351376,0.18408901,-0.42292179,0.10579088,0.12441713,1.77840129,2.09151847,2.29737662,2.70186806,3.11561522,3.6641712,3.95846128,4.65541436
1.17613333,0.97846841,-0.10350149,0.18406082,-0.42283396,0.10577908,0.12441031,1.77833976,2.09156467,2.2972513,2.70187383,3.11544016,3.66417302,3.95823708,4.65541457
1.1762,0.97846151,-0.10348922,0.18403263,-0.42274615,0.10576729,0.12440349,1.77827825,2.09161087,2.297126,2.70187961,3.11526513,3.66417484,3.9580129,4.65541478
1.17626667,0.97845461,-0.10347695,0.18400445,-0.42265836,0.1057555,0.12439667,1.77821674,2.09165708,2.29700072,2.70188538,3.11509011,3.66417666,3.95778875,4.65541498
1.17633333,0.97844771,-0.10346469,0.18397628,-0.4225706,0.10574371,0.12438985,1.77815525,2.09170329,2.29687545,2.70189116,3.11491512,3.66417848,3.95756463,4.65541519
1.1764,0.97844081,-0.10345242,0.18394811,-0.42248286,0.10573192,0.12438303,1.77809376,2.0917495,2.2967502,2.70189693,3.11474014,3.6641803,3.95734053,4.6554154
1.17646667,0.97843392,-0.10344016,0.18391995,-0.42239514,0.10572013,0.12437621,1.77803228,2.09179571,2.29662496,2.70190271,3.11456519,3.66418212,3.95711646,4.65541561
1.17653333,0.97842702,-0.1034279,0.18389179,-0.42230745,0.10570835,0.12436939,1.77797082,2.09184193,2.29649973,2.70190848,3.11439025,3.66418394,3.95689241,4.65541582
1.1766,0.97842012,-0.10341564,0.18386364,-0.42221978,0.10569656,0.12436257,1.77790936,2.09188815,2.29637452,2.70191426,3.11421533,3.66418576,3.95666839,4.65541603
1.17666667,0.97841323,-0.10340339,0.1838355,-0.42213213,0.10568478,0.12435576,1.77784791,2.09193438,2.29624932,2.70192003,3.11404044,3.66418758,3.9564444,4.65541624
1.17673333,0.97840634,-0.10339113,0.18380736,-0.42204451,0.105673,0.12434894,1.77778647,2.0919806,2.29612414,2.70192581,3.11386556,3.6641894,3.95622043,4.65541645
1.1768,0.97839945,-0.10337888,0.18377922,-0.42195691,0.10566122,0.12434212,1.77772505,2.09202683,2.29599897,2.70193159,3.11369071,3.66419123,3.95599648,4.65541666
1.17686667,0.97839255,-0.10336663,0.1837511,-0.42186933,0.10564944,0.12433531,1.77766363,2.09207307,2.29587381,2.70193736,3.11351587,3.66419305,3.95577256,4.65541687
1.17693333,0.97838566,-0.10335438,0.18372297,-0.42178177,0.10563767,0.12432849,1.77760222,2.09211931,2.29574867,2.70194314,3.11334106,3.66419487,3.95554867,4.65541708
1.177,0.97837877,-0.10334213,0.18369486,-0.42169424,0.10562589,0.12432168,1.77754082,2.09216555,2.29562355,2.70194892,3.11316626,3.66419669,3.9553248,4.65541729
1.17706667,0.97837188,-0.10332989,0.18366675,-0.42160673,0.10561412,0.12431486,1.77747943,2.09221179,2.29549844,2.7019547,3.11299149,3.66419851,3.95510096,4.6554175
1.17713333,0.978365,-0.10331764,0.18363864,-0.42151925,0.10560235,0.12430805,1.77741805,2.09225804,2.29537334,2.70196047,3.11281673,3.66420034,3.95487714,4.65541772
1.1772,0.97835811,-0.1033054,0.18361054,-0.42143178,0.10559058,0.12430123,1.77735668,2.09230428,2.29524826,2.70196625,3.112642,3.66420216,3.95465335,4.65541793
1.17726667,0.97835122,-0.10329316,0.18358245,-0.42134434,0.10557881,0.12429442,1.77729532,2.09235054,2.29512319,2.70197203,3.11246728,3.66420398,3.95442959,4.65541814
1.17733333,0.97834434,-0.10328092,0.18355437,-0.42125693,0.10556705,0.1242876,1.77723397,2.09239679,2.29499814,2.70197781,3.11229259,3.6642058,3.95420585,4.65541835
1.1774,0.97833745,-0.10326869,0.18352628,-0.42116953,0.10555528,0.12428079,1.77717263,2.09244305,2.2948731,2.70198359,3.11211791,3.66420763,3.95398213,4.65541856
1.17746667,0.97833057,-0.10325645,0.18349821,-0.42108216,0.10554352,0.12427398,1.7771113,2.09248932,2.29474808,2.70198937,3.11194325,3.66420945,3.95375844,4.65541878
1.17753333,0.97832368,-0.10324422,0.18347014,-0.42099482,0.10553176,0.12426717,1.77704998,2.09253558,2.29462307,2.70199515,3.11176862,3.66421128,3.95353478,4.65541899
1.1776,0.9783168,-0.10323199,0.18344208,-0.42090749,0.10552,0.12426035,1.77698866,2.09258185,2.29449807,2.70200093,3.111594,3.6642131,3.95331114,4.6554192
1.17766667,0.97830992,-0.10321976,0.18341402,-0.42082019,0.10550824,0.12425354,1.77692736,2.09262812,2.29437309,2.70200671,3.11141941,3.66421492,3.95308753,4.65541942
1.17773333,0.97830304,-0.10320754,0.18338597,-0.42073291,0.10549649,0.12424673,1.77686607,2.0926744,2.29424812,2.70201249,3.11124483,3.66421675,3.95286394,4.65541963
1.1778,0.97829616,-0.10319531,0.18335792,-0.42064566,0.10548473,0.12423992,1.77680479,2.09272068,2.29412317,2.70201827,3.11107028,3.66421857,3.95264038,4.65541984
1.17786667,0.97828928,-0.10318309,0.18332988,-0.42055842,0.10547298,0.12423311,1.77674351,2.09276696,2.29399823,2.70202405,3.11089574,3.6642204,3.95241685,4.65542006
1.17793333,0.9782824,-0.10317087,0.18330185,-0.42047122,0.10546123,0.1242263,1.77668225,2.09281324,2.29387331,2.70202983,3.11072123,3.66422222,3.95219334,4.65542027
1.178,0.97827552,-0.10315865,0.18327382,-0.42038403,0.10544948,0.12421949,1.77662099,2.09285953,2.2937484,2.70203562,3.11054673,3.66422405,3.95196985,4.65542049
1.17806667,0.97826865,-0.10314643,0.1832458,-0.42029687,0.10543773,0.12421268,1.77655975,2.09290582,2.29362351,2.7020414,3.11037225,3.66422587,3.95174639,4.6554207
1.17813333,0.97826177,-0.10313421,0.18321778,-0.42020972,0.10542599,0.12420587,1.77649851,2.09295212,2.29349863,2.70204718,3.1101978,3.6642277,3.95152296,4.65542091
1.1782,0.97825489,-0.103122,0.18318977,-0.42012261,0.10541424,0.12419906,1.77643729,2.09299841,2.29337376,2.70205296,3.11002336,3.66422953,3.95129955,4.65542113
