Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,0.18,0.14,0.12
RRA,0.14,0.14,0.14
AP,1.43,1.14,0.95
RP,1.14,1.14,1.14
AT,2.68,2.14,1.78
RT,2.14,2.14,2.14
A5,3.93,3.14,2.62
R5,3.14,3.14,3.14
A6,5.18,4.14,3.45
R6,4.14,4.14,4.14
