Target_Date,Target_ExDate,Target_TTM_Calendar,Final_TTM_AfterAM,Option_File,N_Loaded,N_SecID,N_TargetDate,N_TargetDateExDate,N_AfterBidFilter,N_AfterAskBidFilter,N_AfterNoArb,N_AfterOTM,N_AfterDropNaNIV,N_FinalObs,N_UniqueK,S0,S0_ADJ,RF,DY,DY_Date_Used,Mass_K,Mass_R,Neg_Ratio,Min_RND,Max_RND,EQ_R,GEV_R_Success,GEV_L_Success,Status,ElapsedSeconds
20120118,20120420,93,92,OP2012_1.txt,31190,31190,1540,155,143,143,139,70,70,67,67,1308.04,1300.2002308618,0.00448777035714286,0.0238502,20120118,1,1,0,0,0.00370381206052335,0.995037650747224,1,1,Success,10.1270722
20120215,20120518,93,92,OP2012_2.txt,33125,33125,1714,213,195,195,191,99,99,94,94,1343.23,1335.03894589015,0.00388313771428571,0.02426733,20120215,1,1,0,0,0.00374066625040513,0.994710375728257,1,1,Success,9.8626271
20120321,20120615,86,85,OP2012_3.txt,36289,36289,1569,237,203,203,196,109,109,101,101,1402.89,1395.28181622069,0.00404227571428571,0.02335133,20120321,1,1,0,0,0.0045579469882585,0.995269566291369,1,1,Success,9.9527965
20120418,20120720,93,92,OP2012_4.txt,33450,33450,1732,98,79,79,77,37,37,35,35,1385.14,1377.16561395096,0.00404839642857143,0.02290666,20120418,1,1,0,0,0.00409874373135919,0.994965300269642,1,1,Success,9.9587106
20120516,20120817,93,92,OP2012_5.txt,35615,35615,1701,132,117,117,116,62,62,54,54,1324.8,1316.99197350126,0.00420686057142857,0.02345195,20120516,1,1,0,0,0.00356684986045557,0.994964086429259,1,1,Success,10.1206125
20120620,20120921,93,92,OP2012_6.txt,33752,33752,1678,237,209,209,191,100,100,92,92,1355.69,1347.56178630095,0.00398146535714286,0.0238586,20120620,1,1,0,0,0.00412134726801063,0.99490137040738,1,1,Success,9.8630543
20120718,20121019,93,92,OP2012_7.txt,34558,34558,1736,133,111,111,110,52,52,51,51,1372.78,1364.23406997294,0.00367585228571429,0.02477529,20120718,1,1,0,0,0.00415476100120997,0.994423373411458,1,1,Success,9.9298061
20120822,20121116,86,85,OP2012_8.txt,37987,37987,1791,225,187,187,178,84,84,77,77,1413.49,1405.19896326702,0.00356536857142857,0.02526195,20120822,1,1,0,0,0.00430737987168328,0.994688458898323,1,1,Success,10.032446
20120919,20121221,93,92,OP2012_9.txt,32845,32845,1833,249,195,195,182,96,96,88,88,1461.05,1452.07381106996,0.00302299142857143,0.02444947,20120919,1,1,0,0,0.00453352065610493,0.994199197923955,1,1,Success,10.1886348
20121017,20130118,93,92,OP2012_10.txt,36770,36770,1725,214,182,182,173,92,92,87,87,1460.91,1452.31339403906,0.00265605542857143,0.02341475,20121017,1,1,0,0,0.00443520883573072,0.994377365807663,1,1,Success,10.3444635
20121121,20130215,86,85,OP2012_11.txt,35820,35820,1562,203,168,168,164,79,79,74,74,1391.03,1383.30237539417,0.00287399942857143,0.02392173,20121121,1,1,0,0,0.00455438466825864,0.994869838562287,1,1,Success,9.9727573
20121219,20130315,86,85,OP2012_12.txt,33355,33355,1739,233,191,191,176,98,98,90,90,1435.81,1427.99300509245,0.00279598642857143,0.02344238,20121219,1,1,0,0,0.00431742374217749,0.994867640917521,1,1,Success,9.9987972
