Target_Date,Target_ExDate,Target_TTM_Calendar,Final_TTM_AfterAM,Option_File,N_Loaded,N_SecID,N_TargetDate,N_TargetDateExDate,N_AfterBidFilter,N_AfterAskBidFilter,N_AfterNoArb,N_AfterOTM,N_AfterDropNaNIV,N_FinalObs,N_UniqueK,S0,S0_ADJ,RF,DY,DY_Date_Used,Mass_K,Mass_R,Neg_Ratio,Min_RND,Max_RND,EQ_R,GEV_R_Success,GEV_L_Success,Status,ElapsedSeconds
20090121,20090320,58,57,OP2009_1.txt,24188,24188,1139,243,203,203,197,108,108,100,100,840.24,837.201997219997,0.00777756857142857,0.02319472,20090121,1,1,0,0,0.00317731997308474,0.997517716779035,1,1,Success,9.6057758
20090218,20090417,58,57,OP2009_2.txt,23224,23224,1311,181,159,159,157,78,78,71,71,788.42,785.520201554162,0.00910519942857143,0.02359544,20090218,1,1,0,0,0.003453646456145,0.997653560317792,1,1,Success,9.2948915
20090318,20090515,58,57,OP2009_3.txt,28478,28478,1371,183,163,163,145,79,79,74,74,794.35,791.267868812544,0.00865783971428571,0.02489437,20090318,1,1,0,0,0.00369275283764887,0.99753538951948,1,1,Success,9.3793532
20090415,20090619,65,64,OP2009_4.txt,28616,28616,1383,267,223,223,208,111,111,104,104,852.06,848.078046608779,0.00769141714285714,0.02671503,20090415,1,1,0,0,0.00327166546507878,0.996618545147731,1,1,Success,9.4388713
20090520,20090717,58,57,OP2009_5.txt,27662,27662,1268,253,226,226,211,111,111,103,103,903.47,899.447890585853,0.00463917228571429,0.02857108,20090520,1,1,0,0,0.00455020488142821,0.996248928978947,1,1,Success,9.3807597
20090617,20090821,65,64,OP2009_6.txt,28819,28819,1389,242,218,218,215,111,111,103,103,910.71,906.649678293106,0.00518360928571429,0.02548374,20090617,1,1,0,0,0.00416574980791988,0.996340318635495,1,1,Success,9.5058488
20090722,20090918,58,57,OP2009_7.txt,28360,28360,1216,243,199,199,187,97,97,89,89,954.07,950.437965318711,0.00397112771428571,0.02442394,20090722,1,1,0,0,0.00505375424124154,0.996718890911439,1,1,Success,10.4841854
20090819,20091016,58,57,OP2009_8.txt,28834,28834,1485,246,221,221,213,110,110,102,102,996.46,992.809566639023,0.00348608428571429,0.0235017,20090819,1,1,0,0,0.00473515335357765,0.996657446161197,1,1,Success,9.4124245
20090916,20091120,65,64,OP2009_9.txt,29768,29768,1466,249,226,226,223,112,112,104,104,1068.76,1064.51617141936,0.00305164678571429,0.02269103,20090916,1,1,0,0,0.00452541836794945,0.996501654257788,1,1,Success,9.4627565
20091021,20091218,58,57,OP2009_10.txt,31123,31123,1363,290,238,238,219,111,111,103,103,1081.4,1077.78266674925,0.00284765514285714,0.02145594,20091021,0.999999999999999,0.999999999999999,0,0,0.00514811585619094,0.9967795589405,1,1,Success,9.576152
20091118,20100115,58,57,OP2009_11.txt,27810,27810,1460,257,218,218,218,101,101,94,94,1109.8,1106.16045887822,0.00255884685714286,0.02103454,20091118,1,1,0,0,0.00498606895082616,0.996888897419926,1,1,Success,9.390248
20091216,20100219,65,64,OP2009_12.txt,32576,32576,1531,298,230,230,221,106,106,99,99,1109.18,1105.1660785519,0.00265300642857143,0.02067601,20091216,1,1,0,0,0.00495489234667018,0.996543170644061,1,1,Success,11.2444703
