Target_Date,Target_ExDate,Target_TTM_Calendar,Final_TTM_AfterAM,Option_File,N_Loaded,N_SecID,N_TargetDate,N_TargetDateExDate,N_AfterBidFilter,N_AfterAskBidFilter,N_AfterNoArb,N_AfterOTM,N_AfterDropNaNIV,N_FinalObs,N_UniqueK,S0,S0_ADJ,RF,DY,DY_Date_Used,Mass_K,Mass_R,Neg_Ratio,Min_RND,Max_RND,EQ_R,GEV_R_Success,GEV_L_Success,Status,ElapsedSeconds
19970122,19970418,86,85,OP1997_1.txt,7820,7820,353,36,36,36,36,24,24,18,18,786.23,782.203531332905,0.0560734720634921,0.02204769,19970122,1,1,0,0,0.00770327828246999,1.00357147464204,1,1,Success,8.9200522
19970219,19970620,121,120,OP1997_2.txt,7762,7762,402,62,57,57,57,33,33,29,29,812.49,806.799929995984,0.0555433134065934,0.02137649,19970219,1,1,0,0,0.00526912804992527,1.01092672701001,1,1,Success,8.6552476
19970319,19970620,93,92,OP1997_3.txt,8391,8391,431,67,61,61,61,37,37,31,31,785.77,781.526744825273,0.0573585659340659,0.02148246,19970319,1,1,0,0,0.00577310911021101,1.00877647268344,1,1,Success,8.6745635
19970424,19970718,85,84,OP1997_4.txt,9046,9046,409,32,32,32,32,20,20,16,16,771.18,767.893005009779,0.0593836036507937,0.01856026,19970424,1,1,0,0,0.00632201453981237,1.01022001526966,1,1,Success,8.766167
19970521,19970815,86,85,OP1997_5.txt,8782,8782,417,30,30,30,30,23,23,15,15,839.35,836.487425791361,0.05872113,0.01466997,19970521,1,1,0,0,0.00676193559643672,1.00115330445376,1,1,Success,8.7376177
19970618,19970919,93,92,OP1997_6.txt,9370,9370,520,89,85,85,85,48,48,43,43,889.06,885.892430646523,0.0582637350549451,0.01416038,19970618,1,1,0,0,0.00517144168048143,1.00999265877333,1,1,Success,8.7178399
19970724,19971017,85,84,OP1997_7.txt,9998,9998,441,28,28,28,28,19,19,14,14,940.3,936.400078062901,0.0576114744444444,0.01805948,19970724,1,1,0,0,0.00470978369053084,1.00651165102457,1,1,Success,9.023862
19970820,19971219,121,120,OP1997_8.txt,9636,9636,458,105,99,99,99,57,57,50,50,939.35,933.251407176618,0.0581111762637363,0.01981196,19970820,1,1,0,0,0.00365607775820374,1.01170218540305,1,1,Success,8.9705964
19970917,19971219,93,92,OP1997_9.txt,9458,9458,496,110,103,103,103,59,59,52,52,943,938.490998032209,0.0578859879120879,0.01901578,19970917,1,1,0,0,0.00387828964231449,1.00942030791435,1,1,Success,8.7072793
19971022,19980116,86,85,OP1997_10.txt,9770,9770,416,36,36,36,36,22,22,18,18,968.49,964.18550220127,0.0587566765714286,0.01912794,19971022,1,1,0,0,0.00488197760397081,1.00779078411861,1,1,Success,8.7108391
19971128,19980320,112,111,OP1997_11.txt,8541,8541,407,62,62,62,57,33,33,31,31,955.4,950.134404996628,0.0591037720879121,0.01817321,19971128,1,1,0,0,0.00340292453347295,1.01208006863692,1,1,Success,8.7827173
19971217,19980320,93,92,OP1997_12.txt,9256,9256,443,65,61,61,61,37,37,31,31,965.54,961.130782761021,0.0593753356043956,0.01815891,19971217,1,1,0,0,0.00459340282535318,1.01015361988249,1,1,Success,9.0514676
