Target_Date,Target_ExDate,Target_TTM_Calendar,Final_TTM_AfterAM,Option_File,N_Loaded,N_SecID,N_TargetDate,N_TargetDateExDate,N_AfterBidFilter,N_AfterAskBidFilter,N_AfterNoArb,N_AfterOTM,N_AfterDropNaNIV,N_FinalObs,N_UniqueK,S0,S0_ADJ,RF,DY,DY_Date_Used,Mass_K,Mass_R,Neg_Ratio,Min_RND,Max_RND,EQ_R,GEV_R_Success,GEV_L_Success,Status,ElapsedSeconds
20110119,20110318,58,57,OP2011_1.txt,31197,31197,1643,305,237,237,185,99,99,91,91,1281.92,1277.79677657762,0.00294303171428571,0.02062972,20110119,1,1,0,0,0.00588077524413662,0.996773544716393,1,1,Success,9.6670837
20110216,20110415,58,57,OP2011_2.txt,29033,29033,1587,272,240,240,237,117,117,109,109,1336.32,1332.01655593205,0.00297883857142857,0.02065494,20110216,1,1,0,0,0.00626024585600814,0.99686528167279,1,1,Success,9.3940314
20110316,20110520,65,64,OP2011_3.txt,33610,33610,1594,283,258,258,244,125,125,117,117,1256.88,1252.42995781189,0.00299001035714286,0.02022801,20110316,1,1,0,0,0.00402246958196309,0.99684446395289,1,1,Success,9.551616
20110420,20110617,58,57,OP2011_4.txt,30586,30586,1392,280,218,218,214,107,107,99,99,1330.36,1326.1927559028,0.00250367314285714,0.02008995,20110420,1,1,0,0,0.00646012489555597,0.997002263048965,1,1,Success,9.4863194
20110518,20110715,58,57,OP2011_5.txt,32260,32260,1613,279,220,220,212,103,103,95,95,1340.68,1336.39621725429,0.002335094,0.02049345,20110518,1,1,0,0,0.00613935317408122,0.99678132222631,1,1,Success,9.4896055
20110615,20110819,65,64,OP2011_6.txt,31967,31967,1511,279,237,237,233,113,113,105,105,1265.42,1260.82791811223,0.00244570857142857,0.02073371,20110615,1,1,0,0,0.0048847682922145,0.996510514017551,1,1,Success,9.5528443
20110720,20110916,58,57,OP2011_7.txt,29307,29307,1421,297,229,229,203,108,108,100,100,1325.84,1321.43170225103,0.00239371342857143,0.02132656,20110720,1,1,0,0,0.00536206470946796,0.996941193227456,1,1,Success,9.3827737
20110817,20111021,65,64,OP2011_8.txt,34205,34205,1631,307,279,279,271,139,139,131,131,1193.89,1189.49672507234,0.00292984321428571,0.02102506,20110817,1,1,0,0,0.00377729364596385,0.996656560429621,1,1,Success,9.5651075
20110921,20111118,58,57,OP2011_9.txt,33039,33039,1591,322,299,299,299,149,149,141,141,1166.76,1162.99786695857,0.00321913228571429,0.02068101,20110921,1,1,0,0,0.00332891818349428,0.997126945842249,1,1,Success,9.5313269
20111019,20111216,58,57,OP2011_10.txt,33009,33009,1657,353,311,311,296,151,151,143,143,1209.88,1205.56626525542,0.00346088542857143,0.02287202,20111019,1,1,0,0,0.00351129893208232,0.996794784280502,1,1,Success,9.4981352
20111116,20120120,65,64,OP2011_11.txt,32955,32955,1635,311,299,299,299,154,154,146,146,1236.91,1231.81219034291,0.00443682535714286,0.02355347,20111116,1,1,0,0,0.00326831615969703,0.996501127986239,1,1,Success,9.496257
20111221,20120217,58,57,OP2011_12.txt,32139,32139,1523,291,242,242,214,110,110,102,102,1243.72,1239.08390517696,0.00455203057142857,0.02391434,20111221,1,1,0,0,0.00427504835655665,0.996988172581922,1,1,Success,9.4507937
