Target_Date,Target_ExDate,Target_TTM_Calendar,Final_TTM_AfterAM,Option_File,N_Loaded,N_SecID,N_TargetDate,N_TargetDateExDate,N_AfterBidFilter,N_AfterAskBidFilter,N_AfterNoArb,N_AfterOTM,N_AfterDropNaNIV,N_FinalObs,N_UniqueK,S0,S0_ADJ,RF,DY,DY_Date_Used,Mass_K,Mass_R,Neg_Ratio,Min_RND,Max_RND,EQ_R,GEV_R_Success,GEV_L_Success,Status,ElapsedSeconds
20180117,20180316,58,57,OP2018_1.txt,55320,55320,2701,394,356,356,355,190,190,182,182,2802.56,2796.46656308254,0.0167014921428571,0.01393792,20180117,1,1,0,0,0.00418063104160481,1.00063856102329,1,1,Success,10.7365302
20180214,20180420,65,64,OP2018_2.txt,58726,58726,3193,516,492,492,475,255,255,247,247,2698.63,2691.43004654106,0.0181472110714286,0.01523629,20180214,1,1,0,0,0.00281328112319335,1.00057521204304,1,1,Success,10.6228703
20180321,20180518,58,57,OP2018_3.txt,65078,65078,3264,490,463,463,425,235,235,227,227,2711.93,2704.85354241853,0.021072592,0.01673103,20180321,1,1,0,0,0.00310588140221604,1.00051625007667,1,1,Success,10.8365769
20180418,20180615,58,57,OP2018_4.txt,67200,67200,3171,494,449,449,440,243,243,235,235,2708.64,2701.74119628845,0.021289288,0.0163303,20180418,1,1,0,0,0.00329848723736593,1.00104370725032,1,1,Success,10.9848452
20180516,20180720,65,64,OP2018_5.txt,65266,65266,3004,469,447,447,445,236,236,228,228,2722.46,2714.67284415808,0.0214657903571429,0.01633624,20180516,1,1,0,0,0.00356605792118846,1.00112294650966,1,1,Success,10.8580683
20180620,20180817,58,57,OP2018_6.txt,64080,64080,3224,445,420,420,413,231,231,223,223,2767.32,2759.71001949135,0.0224671645714286,0.01763356,20180620,1,1,0,0,0.00397992446871718,1.00105790211245,1,1,Success,10.8995942
20180718,20180921,65,64,OP2018_7.txt,66226,66226,3226,467,439,439,439,240,240,232,232,2815.62,2807.03054870441,0.022802565,0.01742479,20180718,1,1,0,0,0.00378217844154752,1.00136551566467,1,1,Success,10.9096992
20180822,20181019,58,57,OP2018_8.txt,71027,71027,3088,470,446,446,420,240,240,232,232,2861.82,2853.72514529571,0.0223187114285714,0.01813843,20180822,1,1,0,0,0.00390604777448113,1.00107457163136,1,1,Success,11.1029026
20180919,20181116,58,57,OP2018_9.txt,58464,58464,3203,468,446,446,417,240,240,232,232,2907.95,2899.9285046222,0.0231841654285714,0.0176883,20180919,1,1,0,0,0.00391585995321514,1.00137950066561,1,1,Success,10.6198552
20181017,20181221,65,64,OP2018_10.txt,74938,74938,3247,550,491,491,472,251,251,243,243,2809.21,2800.63390601476,0.0245688032142857,0.01743741,20181017,1,1,0,0,0.00278592115633841,1.00118983378029,1,1,Success,11.3218757
20181121,20190118,58,57,OP2018_11.txt,68283,68283,3179,531,478,478,428,243,243,235,235,2649.93,2643.02067319568,0.0256753334285714,0.01671807,20181121,1,1,0,0,0.00239527153791578,1.00145970530062,1,1,Success,11.0620997
20181219,20190215,58,57,OP2018_12.txt,63034,63034,3324,522,489,489,436,243,243,235,235,2506.96,2500.51211104104,0.0263996477142857,0.01649101,20181219,1,1,0,0,0.00215289305103304,1.00166617238454,1,1,Success,10.8036672
