Measure,Val_at_0_8,Val_at_1,Val_at_1_2,Min_08_12,Max_08_12
ARA,0.3217,-69.7582,40.4992,-74.5072,40.3547
RRA,0.2573,-69.7582,48.5991,-71.7989,48.4184
AP,4919.4115,-66.733,20.8775,-5801.0966,12064.2551
RP,3936.0572,-66.733,25.053,-6647.7348,9654.1535
AT,8.8482,-62.4798,-33.8136,-3442.3465,70172.2042
RT,7.0786,-62.4798,-40.5764,-3815.0357,83057.4344
