Measure,Val_at_0_8,Val_at_1,Val_at_1_2,Min_08_12,Max_08_12
ARA,1.4093,3.0268,-27.2502,-27.2019,4.5929
RRA,1.1275,3.0268,-32.7003,-32.6374,4.2997
AP,-21.4949,19.2514,-37.002,-5923.2773,6185.2989
RP,-17.1959,19.2514,-44.4025,-6184.7693,6456.3139
AT,-0.2223,-6.453,-42.8157,-8047.8403,4849.8152
RT,-0.1779,-6.453,-51.3789,-7211.4819,4344.2034
