TTM,quote_date,expiration_date,rf_gross,kappa,g_scale
30,19960118,19960216,1.00436017100331,0.852432389579318,0.424525551701263
30,19960215,19960315,1.00413703238066,0.852469355705898,0.424604193207281
30,19960321,19960419,1.00423490141038,0.852208136560517,0.424673731270126
30,19960418,19960517,1.0042195011763,0.853700136013473,0.424047093620926
30,19960523,19960621,1.00421249638178,0.852854593761831,0.424408755387169
30,19960620,19960719,1.00425659516555,0.853251328207009,0.424221782022003
30,19960718,19960816,1.00422568442087,0.852228544628591,0.424668962251295
30,19960822,19960920,1.00419896373288,0.85353448231253,0.42412601827457
30,19960919,19961018,1.00424575358903,0.852952793444757,0.424353027032371
30,19961017,19961115,1.00417546076527,0.853115913708141,0.424313512195811
30,19961121,19961220,1.00418249098819,0.853107984804369,0.424313905932506
30,19961219,19970117,1.00432571824211,0.853005948058722,0.42429668601724
30,19970123,19970221,1.00421580357537,0.852819804182552,0.424422122887975
30,19970220,19970321,1.00418249021785,0.852732897015674,0.424473091075096
30,19970320,19970418,1.00431899796626,0.852540764595755,0.42449694818367
30,19970417,19970516,1.00441121219242,0.853220257272646,0.424169657323272
30,19970522,19970620,1.00441818803258,0.854604519356468,0.423579959706133
30,19970619,19970718,1.00441087460694,0.853789633774876,0.423928356313614
30,19970717,19970815,1.00439649229564,0.852669008884573,0.424409764453147
30,19970821,19970919,1.00437675396768,0.852324529448293,0.42456433358186
30,19970918,19971017,1.00439322938176,0.852568572701447,0.42445377158445
30,19971023,19971121,1.00440198574212,0.853004625959176,0.424265028714126
30,19971120,19971219,1.0044264630746,0.852277660873349,0.424563220082345
30,19971218,19980116,1.00456432853996,0.853276341132606,0.424081220329816
30,19980122,19980220,1.00434697136396,0.854195972575731,0.423783094953846
30,19980219,19980320,1.00436961609384,0.853305526079663,0.424151055968391
30,19980319,19980417,1.00439775227647,0.854152944835191,0.423779902986659
30,19980416,19980515,1.00439283385358,0.853539998737402,0.424041813333551
30,19980521,19980619,1.00438039644978,0.854494403176851,0.423642544978962
30,19980618,19980717,1.00439254023065,0.854566632143924,0.42360682506743
30,19980723,19980821,1.00439195258689,0.853584184427609,0.424023449210707
30,19980820,19980918,1.00438603225037,0.852703819038516,0.424399410746456
30,19980917,19981016,1.00435492670879,0.850616616566905,0.425299314714163
30,19981022,19981120,1.00406499934923,0.852592829001429,0.424582227104228
30,19981119,19981218,1.00390918037715,0.853550970254325,0.424241449423797
30,19981217,19990115,1.00419354112455,0.852323523080552,0.42464222173146
30,19990121,19990219,1.00383555218083,0.852032262164512,0.424917401919728
30,19990218,19990319,1.00383196654715,0.851798971666761,0.425018060811956
30,19990318,19990416,1.00381628896708,0.852631812284539,0.424670868264386
30,19990422,19990521,1.00379947750952,0.853274743376352,0.424405029653589
30,19990520,19990618,1.00382064455251,0.853121950043148,0.424460930291739
30,19990617,19990716,1.00387077271521,0.853342215337836,0.424346255839948
30,19990722,19990820,1.00400758008178,0.854225480403821,0.423913840177913
30,19990819,19990917,1.00412873193565,0.853650529808581,0.424106463580684
30,19990916,19991015,1.00417970289462,0.854106442282662,0.423891634899609
30,19991021,19991119,1.00420628236159,0.854670715827808,0.423641298244199
30,19991118,19991217,1.004343388939,0.854934885424175,0.423471582331787
30,19991223,20000121,1.00534958425295,0.856016699340769,0.422590343026131
30,20000120,20000218,1.0044760099517,0.854977048767881,0.423397819115631
30,20000217,20000317,1.00456267401298,0.854371075118477,0.423617915933652
30,20000323,20000420,1.00460077461064,0.854716190380387,0.423455683514971
30,20000420,20000519,1.00477731712698,0.853371691208284,0.423950899649224
30,20000518,20000616,1.00512968747279,0.854177378317538,0.423460959811088
30,20000622,20000721,1.00521741302149,0.855450108811696,0.422885442430851
30,20000720,20000818,1.00514816218437,0.856453265636299,0.422490540687695
30,20000817,20000915,1.00513707997201,0.856286530577935,0.422565649522817
30,20000921,20001020,1.00515851148547,0.855726486101509,0.422793356570146
30,20001019,20001117,1.00514227911621,0.854375397843029,0.423371810834187
30,20001116,20001215,1.00514075973112,0.854441756912758,0.423344357139207
30,20001221,20010119,1.00519935340912,0.853916173757709,0.423542228312443
30,20010118,20010216,1.00457771742905,0.85417381348527,0.423695142865354
30,20010215,20010316,1.00434013768201,0.854485656319401,0.423663232308903
30,20010322,20010420,1.00394078628453,0.852230801642805,0.424788515978465
30,20010419,20010518,1.00352535795213,0.854398485961013,0.424044174343407
30,20010517,20010615,1.00317888894631,0.853241378012501,0.424681745380194
30,20010621,20010720,1.00298577058768,0.852712024979279,0.424988424454335
30,20010719,20010817,1.002965172703,0.853219292085773,0.424781620032003
30,20010823,20010921,1.00278389492716,0.853039338743841,0.424934871295093
30,20010920,20011019,1.00206343583367,0.846251698372789,0.428136585955167
30,20011018,20011116,1.00193825576767,0.850081217987656,0.426553449893238
30,20011123,20011221,1.0015829753598,0.851045895403049,0.426293322503155
30,20011220,20020118,1.00147660898354,0.850655260646494,0.426505174131239
30,20020117,20020215,1.00136292161181,0.851448191008568,0.426215503150059
30,20020214,20020315,1.00143744579834,0.851559917027736,0.426136172221066
30,20020321,20020419,1.00149140029317,0.852426436834612,0.425744138886743
30,20020418,20020517,1.00143940415462,0.851784872247494,0.426039488306754
30,20020523,20020621,1.00143263126449,0.852918617515432,0.42555961988621
30,20020620,20020719,1.00143357165682,0.84978179378779,0.426896220396303
30,20020718,20020816,1.00142489083928,0.847526884840029,0.427863627510102
30,20020822,20020920,1.0014072464488,0.85019837259298,0.426729639180257
30,20020919,20021018,1.00141299235899,0.845725786560432,0.428640039263746
30,20021017,20021115,1.00141911547218,0.846505435735621,0.428303361802313
30,20021121,20021220,1.001069083556,0.849395610718541,0.427216604785467
30,20021219,20030117,1.00107668509461,0.847571034665813,0.427993555588146
30,20030123,20030221,1.00104672883591,0.848856157795425,0.427456675674368
30,20030220,20030321,1.0010366024904,0.847161540608897,0.428185996645353
30,20030320,20030417,1.00097437401066,0.847128368328601,0.428226821096225
30,20030417,20030516,1.00102591050119,0.849832179735583,0.427048553259432
30,20030522,20030620,1.00102456368522,0.85031211572593,0.426844220755545
30,20030619,20030718,1.00082812995425,0.849947393582959,0.427083736473172
30,20030717,20030815,1.00085559083838,0.849933503090007,0.427077950684108
