Bin,LowerEdge,UpperEdge,MeanProbability_A,MeanProbability_B
1,0,0.1,0.102338028169014,0.0986338028169014
2,0.1,0.2,0.101732394366197,0.0996619718309859
3,0.2,0.3,0.103197183098592,0.102140845070423
4,0.3,0.4,0.0986338028169014,0.100056338028169
5,0.4,0.5,0.0985492957746479,0.0994084507042253
6,0.5,0.6,0.0985352112676056,0.100112676056338
7,0.6,0.7,0.101267605633803,0.101492957746479
8,0.7,0.8,0.0981830985915493,0.100169014084507
9,0.8,0.9,0.0993661971830986,0.0989295774647887
10,0.9,1,0.0981971830985915,0.0993943661971831
