Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,2.391,7.8451,1908.3563
RRA,1.9128,7.8451,2290.0276
AP,-5.7225,3.3658,1887.6112
RP,-4.578,3.3658,2265.1334
AT,3.4194,-10.0552,1866.5247
RT,2.7355,-10.0552,2239.8297
A5,-26.6956,11.353,1845.0779
R5,-21.3564,11.353,2214.0935
A6,0.1248,-8.6725,1823.2497
R6,0.0999,-8.6725,2187.8997
