Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,0.263,0.1544,0.0745
RRA,0.2104,0.1544,0.0894
AP,2.6019,3.2073,4.4691
RP,2.0815,3.2073,5.363
AT,1.7871,1.9013,2.3817
RT,1.4297,1.9013,2.8581
A5,1.7598,1.2519,0.6897
R5,1.4079,1.2519,0.8276
A6,3.0337,3.4736,4.6013
R6,2.427,3.4736,5.5216
