R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT,A5,R5,A6,R6
1.09008781,0,-0,0,0,12.88284837,14.04343598,8.19272361,8.93078814,-0.5248659,-0.57214992,259.38634951,282.75389791,5.70645089,6.22053256
1.09041832,0,-0,0,0,12.90282642,14.06947836,8.21633403,8.95924119,-0.47983179,-0.52321738,283.14518171,308.74669447,5.79103754,6.31465344
1.09074884,0,-0,0,0,12.92281995,14.09555083,8.23995432,8.98772059,-0.43490502,-0.47437214,311.74593386,340.03651477,5.87577798,6.408998
1.09107935,0,-0,0,0,12.94282896,14.12165341,8.26358447,9.01622637,-0.39008462,-0.42561327,346.83880894,378.42866219,5.96067601,6.50357051
1.09140986,0,-0,0,0,12.96285344,14.1477861,8.28722451,9.04475857,-0.34536962,-0.37693981,390.92000679,426.65395103,6.04573543,6.59837528
1.09174038,0,-0,0,0,12.98289341,14.17394893,8.31087444,9.07331719,-0.30075908,-0.32835083,447.95356045,489.04898849,6.1309601,6.69341668
1.09207089,0,-0,0,0,13.00294885,14.20014191,8.33453428,9.10190226,-0.25625206,-0.27984541,524.63618467,572.93990458,6.21635387,6.78869909
1.0924014,0,-0,0,0,13.02301978,14.22636506,8.35820404,9.13051381,-0.21184762,-0.23142264,633.24239254,691.7548774,6.30192065,6.88422695
1.09273191,0,-0,0,0,13.04310618,14.25261839,8.38188374,9.15915187,-0.16754485,-0.18308161,798.95905762,873.04806104,6.38766438,6.98000473
1.09306243,0,-0,0,0,13.06320806,14.27890191,8.40557338,9.18781645,-0.12334284,-0.13482143,1082.9233946,1183.70287505,6.47358904,7.07603696
1.09339294,0,-0,0,0,13.08332541,14.30521565,8.42927298,9.21650758,-0.07924069,-0.08664121,1681.95164872,1839.03405985,6.55969863,7.17232817
1.09372345,0,-0,0,0,13.10345825,14.33155962,8.45298256,9.24522528,-0.0352375,-0.03854008,3773.98910049,4127.70039448,6.64599719,7.268883
1.09405397,0,-0,0,-0,13.12360656,14.35793382,8.47670212,9.27396958,0.0086676,0.00948282,-15308.93138583,-16748.79711393,6.73248879,7.36570607
1.09438448,0,-0,0,-0,13.14377036,14.38433829,8.50043168,9.3027405,0.05247549,0.05742836,-2523.01006222,-2761.14305513,6.81917757,7.4628021
