R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT
1.09008781,0.39259016,-0.53315209,2.61126442,-12.01218422,1.35803732,1.48037993,4.89778518,5.33901592,4.60014089,5.01455752
1.09041832,0.39241409,-0.53228969,2.60729792,-11.98987336,1.35644897,1.47909681,4.89826868,5.34116192,4.59858203,5.01437811
1.09074884,0.39223831,-0.5314286,2.60333879,-11.9676122,1.35486155,1.47781366,4.89875553,5.3433119,4.5970245,5.01419912
1.09107935,0.3920628,-0.53056882,2.59938701,-11.94540062,1.35327506,1.47653048,4.89924574,5.34546586,4.5954683,5.01402057
1.09140986,0.39188759,-0.52971034,2.59544257,-11.92323851,1.3516895,1.47524726,4.89973932,5.34762382,4.59391345,5.01384245
1.09174038,0.39171265,-0.52885316,2.59150544,-11.90112574,1.35010487,1.473964,4.90023627,5.34978579,4.59235994,5.01366477
1.09207089,0.391538,-0.52799728,2.58757561,-11.87906221,1.34852117,1.47268072,4.90073659,5.35195177,4.59080778,5.01348753
1.0924014,0.39136363,-0.5271427,2.58365306,-11.8570478,1.3469384,1.4713974,4.90124029,5.35412177,4.58925696,5.01331074
1.09273191,0.39118954,-0.52628942,2.57973778,-11.83508239,1.34535656,1.47011405,4.90174737,5.35629579,4.5877075,5.01313441
1.09306243,0.39101574,-0.52543743,2.57582976,-11.81316586,1.34377565,1.46883067,4.90225784,5.35847386,4.5861594,5.01295853
1.09339294,0.39084222,-0.52458673,2.57192897,-11.7912981,1.34219566,1.46754726,4.9027717,5.36065597,4.58461266,5.01278312
1.09372345,0.39066897,-0.52373732,2.5680354,-11.769479,1.34061661,1.46626383,4.90328895,5.36284213,4.58306728,5.01260817
1.09405397,0.39049601,-0.52288919,2.56414903,-11.74770844,1.33903849,1.46498037,4.9038096,5.36503235,4.58152327,5.0124337
1.09438448,0.39032333,-0.52204235,2.56026985,-11.7259863,1.33746129,1.46369688,4.90433366,5.36722664,4.57998062,5.01225971
1.09471499,0.39015093,-0.52119678,2.55639784,-11.70431248,1.33588503,1.46241337,4.90486112,5.36942501,4.57843935,5.0120862
1.09504551,0.38997881,-0.5203525,2.55253299,-11.68268685,1.33430969,1.46112983,4.905392,5.37162746,4.57689945,5.01191318
1.09537602,0.38980696,-0.51950949,2.54867528,-11.66110931,1.33273528,1.45984627,4.90592629,5.37383401,4.57536094,5.01174065
1.09570653,0.3896354,-0.51866776,2.54482469,-11.63957974,1.33116181,1.45856269,4.906464,5.37604466,4.5738238,5.01156862
1.09603705,0.38946411,-0.5178273,2.54098121,-11.61809803,1.32958926,1.45727908,4.90700514,5.37825942,4.57228806,5.01139709
1.09636756,0.3892931,-0.5169881,2.53714482,-11.59666406,1.32801764,1.45599546,4.90754971,5.3804783,4.5707537,5.01122607
1.09669807,0.38912237,-0.51615018,2.53331551,-11.57527773,1.32644695,1.45471181,4.90809772,5.3827013,4.56922073,5.01105556
