Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,4.4235,1.4502,0.7705
RRA,3.5388,1.4502,0.9246
AP,9.2437,7.25,2.7588
RP,7.3949,7.25,3.3105
AT,10.6156,9.9105,2.5976
RT,8.4925,9.9105,3.1171
A5,12.4228,6.6916,3.1773
R5,9.9382,6.6916,3.8128
A6,14.2261,12.3185,3.8062
R6,11.3809,12.3185,4.5675
