Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,1.5791,0.1855,-0
RRA,1.2633,0.1855,-0
AP,8.1516,19.361,-4.1352
RP,6.5213,19.361,-4.9622
AT,6.7752,10.0489,0.4745
RT,5.4202,10.0489,0.5694
A5,8.0275,1.7735,0
R5,6.422,1.7735,0
A6,10.5135,19.6922,1.8673
R6,8.4108,19.6922,2.2408
