R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT,A5,R5,A6,R6
1.09008781,0,-0,0,0,5.07920586,5.53678039,1.34210502,1.46301232,-17.33014967,-18.89138492,3.19785357,3.4859412,-23.00085143,-25.07294779
1.09041832,0,-0,0,0,5.08548168,5.54530241,1.35038904,1.47248895,-17.21322095,-18.76961153,3.22557092,3.51722163,-22.79891285,-24.86035234
1.09074884,0,-0,0,0,5.09176188,5.55383335,1.35867569,1.48197392,-17.09758147,-18.6491671,3.25334278,3.54857985,-22.59991017,-24.65082574
1.09107935,0,-0,0,0,5.09804645,5.56237321,1.36696497,1.49146725,-16.98320836,-18.53002793,3.28116965,3.58001645,-22.40377491,-24.44429616
1.09140986,0,-0,0,0,5.1043354,5.570922,1.37525689,1.50096894,-16.87007926,-18.41217089,3.30905201,3.611532,-22.21044067,-24.240694
1.09174038,0,-0,0,0,5.11062873,5.57947973,1.38355145,1.51047898,-16.75817234,-18.29557337,3.33699037,3.64312713,-22.01984309,-24.03995178
1.09207089,0,-0,0,0,5.11692643,5.5880464,1.39184865,1.51999739,-16.6474663,-18.18021332,3.36498523,3.67480242,-21.83191977,-23.84200403
1.0924014,0,-0,0,0,5.12322851,5.59662201,1.40014849,1.52952417,-16.53794029,-18.06606916,3.3930371,3.70655848,-21.64661017,-23.6467873
1.09273191,0,-0,0,0,5.12953497,5.60520657,1.40845097,1.53905933,-16.42957397,-17.95311983,3.42114647,3.73839594,-21.46385555,-23.45423997
1.09306243,0,-0,0,0,5.1358458,5.61380008,1.4167561,1.54860286,-16.32234745,-17.84134473,3.44931388,3.7703154,-21.28359891,-23.2643023
1.09339294,0,-0,0,0,5.14216101,5.62240255,1.42506387,1.55815477,-16.2162413,-17.73072376,3.47753982,3.80231749,-21.10578494,-23.07691627
1.09372345,0,-0,0,0,5.1484806,5.63101398,1.43337428,1.56771507,-16.11123651,-17.62123724,3.50582483,3.83440284,-20.93035992,-22.89202555
1.09405397,0,-0,0,0,5.15480456,5.63963438,1.44168735,1.57728376,-16.00731452,-17.51286595,3.53416942,3.86657208,-20.7572717,-22.70957545
1.09438448,0,-0,0,0,5.16113289,5.64826374,1.45000306,1.58686084,-15.90445717,-17.40559109,3.56257413,3.89882584,-20.58646962,-22.52951285
1.09471499,0,-0,0,0,5.16746561,5.65690208,1.45832142,1.59644632,-15.8026467,-17.29939428,3.59103949,3.93116478,-20.41790447,-22.35178615
1.09504551,0,-0,0,0,5.1738027,5.66554939,1.46664243,1.6060402,-15.70186576,-17.19425754,3.61956604,3.96358952,-20.25152843,-22.1763452
