Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,0.4,0.1727,0.0833
RRA,0.32,0.1727,0.1
AP,20.428,3.2256,4.478
RP,16.3424,3.2256,5.3736
AT,32.2937,1.9443,2.4033
RT,25.835,1.9443,2.884
A5,2.3002,1.3709,0.7647
R5,1.8401,1.3709,0.9177
A6,34.8638,3.522,4.6255
R6,27.8911,3.522,5.5506
