R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT,A5,R5,A6,R6
1.09008781,0,-0,0,0,14.42651419,15.72616727,7.6596024,8.34963921,-6.42122137,-6.99969514,28.74448955,31.33401769,-15.83505747,-17.26160313
1.09041832,0,-0,0,0,14.45880786,15.76614904,7.69528297,8.39107756,-6.34665259,-6.92050628,29.17195153,31.80963049,-15.57565277,-16.98397719
1.09074884,0,-0,0,0,14.49115758,15.80621328,7.73103063,8.43261267,-6.27220972,-6.84140546,29.60746673,32.2943099,-15.31883282,-16.70899908
1.09107935,0,-0,0,0,14.52356334,15.84636005,7.76684527,8.47424448,-6.19789173,-6.76239168,30.05131234,32.78836633,-15.06453023,-16.43659785
1.09140986,0,-0,0,0,14.55602514,15.8865894,7.80272677,8.51597295,-6.12369756,-6.68346391,30.50377815,33.29212433,-14.81267957,-16.16670458
1.09174038,0,-0,0,0,14.58854298,15.92690139,7.83867502,8.55779801,-6.04962617,-6.60462115,30.96516726,33.80592335,-14.56321732,-15.89925235
1.09207089,0,-0,0,0,14.62111686,15.96729608,7.87468991,8.59971961,-5.97567652,-6.52586237,31.43579686,34.33011863,-14.31608174,-15.63417611
1.0924014,0,-0,0,0,14.65374678,16.00777353,7.91077133,8.64173769,-5.9018476,-6.44718659,31.91599908,34.86508214,-14.07121285,-15.37141265
1.09273191,0,-0,0,0,14.68643274,16.04833378,7.94691917,8.68385221,-5.82813837,-6.3685928,32.40612186,35.4112036,-13.82855237,-15.11090052
1.09306243,0,-0,0,0,14.71917475,16.08897689,7.98313333,8.7260631,-5.75454782,-6.29008001,32.90652992,35.96889149,-13.58804361,-14.85257994
1.09339294,0,-0,0,0,14.75197279,16.12970292,8.01941369,8.76837032,-5.68107493,-6.21164723,33.41760579,36.53857427,-13.34963144,-14.59639278
1.09372345,0,-0,0,0,14.78482688,16.17051192,8.05576015,8.81077381,-5.60771871,-6.13329347,33.93975093,37.12070161,-13.11326224,-14.34228247
1.09405397,0,-0,0,0,14.81773701,16.21140396,8.0921726,8.85327353,-5.53447814,-6.05501776,34.47338689,37.71574569,-12.87888382,-14.09019394
1.09438448,0,-0,0,0,14.85070318,16.25237907,8.12865093,8.89586942,-5.46135224,-5.97681913,35.01895663,38.32420264,-12.6464454,-13.84007357
1.09471499,0,-0,0,0,14.88372539,16.29343733,8.16519504,8.93856144,-5.38834001,-5.8986966,35.57692585,38.94659414,-12.41589751,-13.59186916
1.09504551,0,-0,0,0,14.91680364,16.33457879,8.20180483,8.98134952,-5.31544048,-5.82064921,36.14778452,39.583469,-12.187192,-13.34552983
1.09537602,0,-0,0,0,14.94993793,16.3758035,8.23848019,9.02423364,-5.24265265,-5.74267599,36.73204847,40.23540503,-11.96028194,-13.10100602
1.09570653,0,-0,0,0,14.98312826,16.41711151,8.27522102,9.06721373,-5.16997557,-5.66477601,37.33026113,40.90301096,-11.73512163,-12.85824942
1.09603705,0,-0,0,0,15.01637464,16.45850289,8.31202722,9.11028975,-5.09740827,-5.5869483,37.94299538,41.58692854,-11.51166648,-12.61721291
1.09636756,0,-0,0,0,15.04967705,16.49997768,8.34889868,9.15346166,-5.02494977,-5.50919191,38.57085564,42.28783481,-11.28987306,-12.37785056
1.09669807,0,-0,0,0,15.08303551,16.54153595,8.38583531,9.19672941,-4.95259914,-5.43150592,39.21448,43.00644457,-11.069699,-12.14011754
1.09702858,0,-0,0,0,15.11645001,16.58317775,8.422837,9.24009295,-4.88035541,-5.35388939,39.87454266,43.74351308,-10.85110296,-11.90397012
1.0973591,0,-0,0,0,15.14992055,16.62490313,8.45990365,9.28355223,-4.80821765,-5.27634138,40.55175652,44.49983892,-10.63404461,-11.66936559
1.09768961,0,-0,0,0,15.18344713,16.66671216,8.49703517,9.32710722,-4.73618491,-5.19886096,41.24687597,45.27626721,-10.41848457,-11.43626227
1.09802012,0,-0,0,0,15.21702975,16.70860488,8.53423146,9.37075788,-4.66425626,-5.12144723,41.96070001,46.073693,-10.20438442,-11.20461944
1.09835064,0,-0,0,0,15.25066841,16.75058135,8.57149242,9.41450415,-4.59243078,-5.04409927,42.69407555,46.89306505,-9.99170662,-10.97439732
1.09868115,0,-0,0,0,15.28436311,16.79264163,8.60881795,9.45834599,-4.52070754,-4.96681615,43.44790112,47.73538993,-9.7804145,-10.74555705
1.09901166,0,-0,0,0,15.31811386,16.83478577,8.64620795,9.50228337,-4.44908562,-4.88959699,44.22313079,48.60173648,-9.57047224,-10.5180606
1.09934218,0,-0,0,0,15.35192064,16.87701383,8.68366234,9.54631625,-4.37756413,-4.81244087,45.02077864,49.49324073,-9.36184481,-10.29187084
1.09967269,0,-0,0,0,15.38578347,16.91932587,8.72118102,9.59044457,-4.30614214,-4.7353469,45.84192348,50.41111123,-9.15449798,-10.0669514
1.1000032,0,-0,0,0,15.41970234,16.96172194,8.75876389,9.63466831,-4.23481876,-4.65831419,46.68771412,51.35663499,-8.94839826,-9.84326673
1.10033371,0,-0,0,0,15.45367725,17.00420209,8.79641085,9.67898743,-4.1635931,-4.58134186,47.55937517,52.33118393,-8.7435129,-9.62078202
1.10066423,0,-0,0,0,15.4877082,17.04676638,8.83412183,9.72340187,-4.09246427,-4.50442902,48.45821341,53.33622202,-8.53980985,-9.39946321
1.10099474,0,-0,0,0,15.52179519,17.08941486,8.87189671,9.76791162,-4.02143138,-4.4275748,49.38562477,54.37331311,-8.33725774,-9.17927692
1.10132525,0,-0,0,0,15.55593822,17.1321476,8.90973542,9.81251662,-3.95049356,-4.35077832,50.34310208,55.44412965,-8.13582585,-8.96019046
1.10165577,0,-0,0,0,15.59013729,17.17496465,8.94763786,9.85721685,-3.87964993,-4.27403872,51.33224369,56.55046226,-7.93548411,-8.74217183
1.10198628,0,-0,0,0,15.62439241,17.21786606,8.98560394,9.90201226,-3.80889963,-4.19735513,52.35476287,57.69423035,-7.73620304,-8.52518961
1.10231679,0,-0,0,0,15.65870357,17.26085189,9.02363358,9.94690282,-3.7382418,-4.12072671,53.41249845,58.87749396,-7.53795378,-8.30921303
1.10264731,0,-0,0,0,15.69307076,17.30392219,9.06172667,9.9918885,-3.66767558,-4.04415259,54.50742643,60.10246688,-7.34070801,-8.09421191
1.10297782,0,-0,0,0,15.727494,17.34707702,9.09988314,10.03696925,-3.59720011,-3.96763193,55.64167312,61.37153123,-7.14443799,-7.88015663
1.10330833,0,-0,0,0,15.76197328,17.39031644,9.13810289,10.08214506,-3.52681456,-3.89116389,56.81752965,62.68725383,-6.9491165,-7.66701813
1.10363884,0,-0,0,0,15.7965086,17.4336405,9.17638585,10.12741587,-3.45651808,-3.81474762,58.0374683,64.05240444,-6.75471682,-7.45476786
1.10396936,0,-0,0,0,15.83109996,17.47704925,9.21473191,10.17278167,-3.38630985,-3.73838231,59.30416076,65.46997624,-6.56121275,-7.24337782
1.10429987,0,-0,0,0,15.86574736,17.52054276,9.253141,10.21824241,-3.31618902,-3.6620671,60.62049866,66.94320881,-6.36857857,-7.03282048
