Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,3.0359,7.7136,28.2553
RRA,2.4287,7.7136,33.9063
AP,-0.9801,1.0493,22.8046
RP,-0.7841,1.0493,27.3655
AT,0.4925,-26.8874,15.5445
RT,0.394,-26.8874,18.6535
A5,-578.2507,-41.1032,2.874
R5,-462.6006,-41.1032,3.4488
A6,1.4014,15.5015,-117.1945
R6,1.1211,15.5015,-140.6334
