Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,3.0923,1.8017,0.8695
RRA,2.4738,1.8017,1.0434
AP,5.9171,4.8547,5.2642
RP,4.7337,4.8547,6.317
AT,9.4448,5.0278,4.1557
RT,7.5558,5.0278,4.9869
A5,9.2064,6.1159,4.7796
R5,7.3651,6.1159,5.7355
A6,11.1803,7.0377,6.604
R6,8.9442,7.0377,7.9248
