Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,1.3169,8.0145,20.3799
RRA,1.0536,8.0145,24.4558
AP,-13.3523,2.0682,16.6509
RP,-10.6818,2.0682,19.9811
AT,-3.8474,-29.5236,11.6692
RT,-3.0779,-29.5236,14.0031
A5,24.6552,5.8954,3.0301
R5,19.7241,5.8954,3.6361
A6,-10.7797,-29.2051,-55.8989
R6,-8.6238,-29.2051,-67.0787
