Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,3.1105,1.8256,0.8811
RRA,2.4884,1.8256,1.0573
AP,5.4494,4.8786,5.2757
RP,4.3595,4.8786,6.3309
AT,6.2825,5.0658,4.1793
RT,5.026,5.0658,5.0151
A5,7.33,6.1591,4.8181
R5,5.864,6.1591,5.7817
A6,8.1891,7.0815,6.6307
R6,6.5513,7.0815,7.9569
