Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,2.2601,3.474,4.1109
RRA,1.8081,3.474,4.933
AP,2.3383,1.2368,4.4521
RP,1.8706,1.2368,5.3426
AT,15.7832,-19.7695,2.2346
RT,12.6266,-19.7695,2.6815
A5,8.0381,10.2816,-7.8385
R5,6.4305,10.2816,-9.4062
A6,5.6901,1.8045,19.1084
R6,4.5521,1.8045,22.9301
