Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,4.0579,1.6153,0.687
RRA,3.2463,1.6153,0.8244
AP,8.1001,6.5826,5.0816
RP,6.4801,6.5826,6.098
AT,9.3825,7.9933,3.7755
RT,7.506,7.9933,4.5306
A5,10.9564,7.0154,4.1233
R5,8.7651,7.0154,4.948
A6,12.4916,10.6729,6.1727
R6,9.9933,10.6729,7.4072
