Measure,Val_at_0_8,Val_at_1_0,Val_at_1_2
ARA,1.2585,3.5318,7.4075
RRA,1.0068,3.5318,8.889
AP,-4.5899,-0.8209,4.2506
RP,-3.6719,-0.8209,5.1007
AT,-2.4697,27.1678,-2.3232
RT,-1.9758,27.1678,-2.7879
A5,20.8014,-3.5549,25.4339
R5,16.6411,-3.5549,30.5207
A6,-4.8357,18.3401,-0.3381
R6,-3.8686,18.3401,-0.4058
