Bin,LowerEdge,UpperEdge,MeanProbability_A,MeanProbability_B
1,0,0.1,0.101464788732394,0.103661971830986
2,0.1,0.2,0.10343661971831,0.102647887323944
3,0.2,0.3,0.106140845070423,0.10512676056338
4,0.3,0.4,0.096112676056338,0.0947042253521127
5,0.4,0.5,0.100619718309859,0.0987042253521127
6,0.5,0.6,0.0995492957746479,0.100225352112676
7,0.6,0.7,0.10230985915493,0.101521126760563
8,0.7,0.8,0.095830985915493,0.0970140845070423
9,0.8,0.9,0.0968450704225352,0.0953239436619718
10,0.9,1,0.0976901408450704,0.101070422535211
