Bin,LowerEdge,UpperEdge,MeanProbability_A,MeanProbability_B
1,0,0.05,0.0503098591549296,0.0516619718309859
2,0.05,0.1,0.0511549295774648,0.052
3,0.1,0.15,0.0513239436619718,0.0510985915492958
4,0.15,0.2,0.052112676056338,0.0515492957746479
5,0.2,0.25,0.0513239436619718,0.0515492957746479
6,0.25,0.3,0.0548169014084507,0.0535774647887324
7,0.3,0.35,0.0495774647887324,0.048056338028169
8,0.35,0.4,0.0465352112676056,0.0466478873239437
9,0.4,0.45,0.0492957746478873,0.0492957746478873
10,0.45,0.5,0.0513239436619718,0.0494084507042254
11,0.5,0.55,0.0499718309859155,0.0503098591549296
12,0.55,0.6,0.0495774647887324,0.0499154929577465
13,0.6,0.65,0.0527323943661972,0.0510985915492958
14,0.65,0.7,0.0495774647887324,0.0504225352112676
15,0.7,0.75,0.0509295774647887,0.0500281690140845
16,0.75,0.8,0.0449014084507042,0.0469859154929577
17,0.8,0.85,0.0491267605633803,0.0476619718309859
18,0.85,0.9,0.0477183098591549,0.0476619718309859
19,0.9,0.95,0.0490140845070423,0.0503661971830986
20,0.95,1,0.0486760563380282,0.0507042253521127
