date_30,rf_gross_TTM30,date_60,rf_gross_TTM60,date_90,rf_gross_TTM90,date_180,rf_gross_TTM180
19960118,1.00436017100331,19960116,1.00896361176261,19960122,1.01319538541796,19960325,1.026916824633
19960215,1.00413703238066,19960220,1.00858929073644,19960220,1.01268140981219,19960624,1.02866652335642
19960321,1.00423490141038,19960319,1.00875153113199,19960325,1.01311176723966,19960923,1.02915893612387
19960418,1.0042195011763,19960423,1.00877306248649,19960422,1.01323664128453,19961223,1.02790932692034
19960523,1.00421249638178,19960521,1.00881326129769,19960520,1.0133066465213,19970324,1.02928549036725
19960620,1.00425659516555,19960618,1.00894334017265,19960624,1.01369374067323,19970623,1.02905198778249
19960718,1.00422568442087,19960723,1.00899086172816,19960722,1.01368401945313,19970922,1.02879415136101
19960822,1.00419896373288,19960820,1.0088569922796,19960819,1.01342649956162,19971222,1.02901506792519
19960919,1.00424575358903,19960917,1.00900825689834,19960923,1.01392989476249,19980323,1.02830476183169
19961017,1.00417546076527,19961022,1.0088235768581,19961021,1.01337576600116,19980622,1.02849227892132
19961121,1.00418249098819,19961119,1.00877870709373,19961125,1.01323128444612,19980921,1.02640023717011
19961219,1.00432571824211,19961224,1.00924027870252,19961223,1.01368665342136,19981221,1.02496589176181
19970123,1.00421580357537,19970121,1.00888549096367,19970120,1.01345224367176,19990322,1.02519359636335
19970220,1.00418249021785,19970218,1.00877134296551,19970324,1.01407923322328,19990621,1.02697297435092
19970320,1.00431899796626,19970318,1.00900322095425,19970421,1.01421237637421,19990726,1.02774406759398
19970417,1.00441121219242,19970422,1.00934830264474,19970519,1.01422492234729,19990920,1.02919208472432
19970522,1.00441818803258,19970520,1.00936074934344,19970623,1.01402716269554,19991220,1.030757540476
19970619,1.00441087460694,19970617,1.00923924363649,19970721,1.01389916131204,20000320,1.03245229799581
19970717,1.00439649229564,19970722,1.00918574152271,19970825,1.01395621945158,20000619,1.03426004863353
19970821,1.00437675396768,19970819,1.00915684232483,19970922,1.01390211053231,20000918,1.03338189926356
19970918,1.00439322938176,19970923,1.00923181622864,19971020,1.01407675836067,20001218,1.03099220558393
19971023,1.00440198574212,19971021,1.00929459530417,19971124,1.01405869067732,20010326,1.02279570222575
19971120,1.0044264630746,19971118,1.00929785599383,19971222,1.01413417413089,20010625,1.01845095735004
19971218,1.00456432853996,19971223,1.00944005945775,19980120,1.01343256581198,20010917,1.01410033778089
19980122,1.00434697136396,19980120,1.00905011691449,19980323,1.01374931639812,20011224,1.01020600359657
19980219,1.00436961609384,19980217,1.00906298127494,19980420,1.01378761076819,20020325,1.01252009722882
19980319,1.00439775227647,19980317,1.00913482845815,19980526,1.01366316445268,20020624,1.01012457821408
19980416,1.00439283385358,19980421,1.00915624859518,19980622,1.01376942415533,20020923,1.00846224400255
19980521,1.00438039644978,19980519,1.00917212769335,19980720,1.01376933516344,20021223,1.00691617868547
19980618,1.00439254023065,19980623,1.00916613506694,19980824,1.01372573411568,20030324,1.00627926581682
19980723,1.00439195258689,19980721,1.00914409192709,19980921,1.0132088213397,20030623,1.00479301566971
