date,exdate,price_date,price_exdate,has_price_date,has_price_exdate,drop_reason
19960118,19960216,608.24,647.98,True,True,
19960215,19960315,651.32,641.43,True,True,
19960321,19960419,649.19,645.07,True,True,
19960418,19960517,643.61,668.91,True,True,
19960523,19960621,676,666.84,True,True,
19960620,19960719,662.1,638.73,True,True,
19960718,19960816,643.56,665.21,True,True,
19960822,19960920,670.68,687.03,True,True,
19960919,19961018,683,710.82,True,True,
19961017,19961115,706.99,737.62,True,True,
19961121,19961220,742.75,748.87,True,True,
19961219,19970117,745.76,776.17,True,True,
19970123,19970221,777.56,801.77,True,True,
19970220,19970321,802.8,784.1,True,True,
19970320,19970418,782.65,766.34,True,True,
19970417,19970516,761.77,829.75,True,True,
19970522,19970620,835.66,898.7,True,True,
19970619,19970718,897.99,915.3,True,True,
19970717,19970815,931.61,900.81,True,True,
19970821,19970919,925.05,950.51,True,True,
19970918,19971017,947.29,944.16,True,True,
19971023,19971121,950.69,963.09,True,True,
19971120,19971219,958.98,946.78,True,True,
19971218,19980116,955.3,961.51,True,True,
19980122,19980220,963.04,1034.21,True,True,
19980219,19980320,1028.28,1099.16,True,True,
19980319,19980417,1089.74,1122.72,True,True,
19980416,19980515,1108.17,1108.73,True,True,
19980521,19980619,1114.64,1100.65,True,True,
19980618,19980717,1106.37,1186.75,True,True,
19980723,19980821,1139.75,1081.24,True,True,
19980820,19980918,1091.6,1020.09,True,True,
19980917,19981016,1018.87,1056.42,True,True,
19981022,19981120,1078.48,1163.55,True,True,
19981119,19981218,1152.61,1188.03,True,True,
19981217,19990115,1179.98,1243.26,True,True,
19990121,19990219,1235.16,1239.22,True,True,
19990218,19990319,1237.28,1299.29,True,True,
19990318,19990416,1316.55,1319,True,True,
19990422,19990521,1358.82,1330.29,True,True,
19990520,19990618,1338.83,1342.84,True,True,
19990617,19990716,1339.9,1418.78,True,True,
19990722,19990820,1360.97,1336.61,True,True,
19990819,19990917,1323.59,1335.42,True,True,
19990916,19991015,1318.48,1247.41,True,True,
19991021,19991119,1283.61,1422,True,True,
19991118,19991217,1424.94,1421.03,True,True,
19991223,20000121,1458.34,1441.36,True,True,
20000120,20000218,1445.57,1346.09,True,True,
20000217,20000317,1388.26,1464.47,True,True,
20000323,20000420,1527.35,1434.54,True,True,
20000420,20000519,1434.54,1406.95,True,True,
20000518,20000616,1437.21,1464.46,True,True,
20000622,20000721,1452.18,1480.19,True,True,
20000720,20000818,1495.57,1491.72,True,True,
20000817,20000915,1496.07,1465.81,True,True,
20000921,20001020,1449.05,1396.93,True,True,
20001019,20001117,1388.76,1367.72,True,True,
20001116,20001215,1372.32,1312.15,True,True,
20001221,20010119,1274.86,1342.54,True,True,
20010118,20010216,1347.97,1301.53,True,True,
20010215,20010316,1326.61,1150.53,True,True,
20010322,20010420,1117.58,1242.98,True,True,
20010419,20010518,1253.7,1291.96,True,True,
20010517,20010615,1288.49,1214.36,True,True,
20010621,20010720,1237.04,1210.85,True,True,
20010719,20010817,1215.02,1161.97,True,True,
20010823,20010921,1162.09,965.8,True,True,
20010920,20011019,984.54,1073.48,True,True,
20011018,20011116,1068.61,1138.65,True,True,
20011123,20011221,1150.34,1144.89,True,True,
20011220,20020118,1139.93,1127.58,True,True,
20020117,20020215,1138.88,1104.18,True,True,
