alpha,beta,b6_loglik,b6_BIC
0.85,0.85,554.7935,-1069.3859
0.85,0.9,556.014,-1071.827
0.85,0.95,556.6705,-1073.1401
0.85,1,557.0177,-1073.8343
0.85,1.05,557.1155,-1074.0299
0.9,0.85,559.0273,-1077.8536
0.9,0.9,559.7659,-1079.3309
0.9,0.95,559.944,-1079.6871
0.9,1,559.9141,-1079.6271
0.9,1.05,559.7533,-1079.3055
0.95,0.85,560.9834,-1081.7658
0.95,0.9,561.3671,-1082.5332
0.95,0.95,561.2766,-1082.3523
0.95,1,561.0392,-1081.8774
0.95,1.05,560.6855,-1081.1701
1,0.85,561.2003,-1082.1996
1,0.9,561.4441,-1082.6872
1,0.95,561.3141,-1082.4271
1,1,560.9712,-1081.7414
1,1.05,560.4981,-1080.7953
1.05,0.85,560.0875,-1079.9739
1.05,0.9,560.3094,-1080.4177
1.05,0.95,560.18,-1080.159
1.05,1,559.8387,-1079.4763
1.05,1.05,559.3645,-1078.528
