Measure,Val_at_4800,Val_at_6000,Val_at_7200,Min_Range,Max_Range
ARA,0.0007,0.0003,0.0001,0.0001,0.0007
RRA,3.5983,1.5494,0.4331,0.4337,3.5955
AP,0.0015,0.0013,0.0015,0.0013,0.0015
RP,7.3405,7.6553,10.9802,7.2127,10.975
AT,0.0018,0.0013,0.0012,0.0012,0.0018
RT,8.698,7.6736,8.8634,7.6435,8.8604
