Measure,Val_at_0_8,Val_at_1,Val_at_1_2,Min_08_12,Max_08_12
ARA,4.4978,1.5494,0.3609,0.3615,4.4931
RRA,3.5983,1.5494,0.4331,0.4337,3.5955
AP,9.1757,7.6554,9.1502,7.6552,9.1721
RP,7.3405,7.6554,10.9802,7.2127,10.975
AT,10.8725,7.6736,7.3862,7.0855,10.8675
RT,8.698,7.6736,8.8634,7.6435,8.8604
