Row,N1,N2,N3,N4,N5
LogLikelihood,560.608634735304,561.179356198383,561.24925422138,563.250823421758,563.532781475342
c1,-1.80580438216398,-1.28465397543469,-1.28184474701147,-3.12365415334507,-2.89608374916864
c2,NaN,8.23395422549221,9.15198621802932,27.7312347932388,34.7670295925842
c3,NaN,NaN,1.63587304264159,174.008475815873,148.424531517089
c4,NaN,NaN,NaN,231.232289853571,-86.1057687255099
c5,NaN,NaN,NaN,NaN,-507.295560065958
