Row,N=1,N=2,N=3,N=4,N=5
LogLikelihood,560.454,560.528,560.552,559.666,558.902
c1,-0.021,-0.019,-0.019,-0.006,-0
c2,NaN,0,0.001,0,0
c3,NaN,NaN,0,-0,-0
c4,NaN,NaN,NaN,-0,0
c5,NaN,NaN,NaN,NaN,-0
