Row,N=1,N=2,N=3,N=4,N=5
LogLikelihood,560.609,561.179,561.249,563.251,563.533
c1,-1.806,-1.285,-1.282,-3.124,-2.896
c2,NaN,8.234,9.152,27.731,34.767
c3,NaN,NaN,1.636,174.008,148.425
c4,NaN,NaN,NaN,231.232,-86.106
c5,NaN,NaN,NaN,NaN,-507.296
