Measure,Val_at_0_8,Val_at_1,Val_at_1_2,Min_08_12,Max_08_12
ARA,1.4089,3.027,-27.2491,-27.2008,4.5931
RRA,1.1272,3.027,-32.6989,-32.636,4.2998
AP,-21.5055,19.2512,-37.0005,-5955.8589,6150.039
RP,-17.2044,19.2512,-44.4006,-6218.7892,6419.509
AT,-0.2235,-6.4525,-42.8137,-8382.969,4735.8979
RT,-0.1788,-6.4525,-51.3765,-7511.783,4242.1623
