Measure,Val_at_0_8,Val_at_1,Val_at_1_2,Min_08_12,Max_08_12
ARA,4.8376,0.8262,-40.4171,-40.3574,5.9444
RRA,3.8701,0.8262,-48.5005,-48.4216,5.2544
AP,0.0782,113.8788,-48.5377,-3163.7947,71736.564
RP,0.0625,113.8788,-58.2453,-3191.5779,72342.8166
AT,-783.4209,-7.986,-54.5829,-666.5093,-1.446
RT,-626.7369,-7.986,-65.4995,-533.3594,-1.36
