TTM,theta
30,5.38355980681204
30,-1.24109778290131
30,-1.24109778290131
30,-1.24109778290131
30,-1.66011734455748
60,5.99341218816196
60,-1.35535178686787
60,-1.35535178686787
60,-1.35535178686787
60,-1.92737304820399
90,6.21712563870148
90,-1.59771665752984
90,-1.59771665752984
90,-1.59771665752984
90,-1.59771665752983
180,6.1796749097293
180,-1.54794908174566
180,-1.54794908174566
180,-1.54794908174566
180,-1.54794908174566
