target_ttm_days,knot_index,knot_value
60,1,2.22044604925031e-16
60,2,2.22044604925031e-16
60,3,2.22044604925031e-16
60,4,2.22044604925031e-16
60,5,1.64985
60,6,3.2997
60,7,3.2997
60,8,3.2997
60,9,3.2997
