target_ttm_days,knot_index,knot_value
90,1,2.22044604925031e-16
90,2,2.22044604925031e-16
90,3,2.22044604925031e-16
90,4,2.22044604925031e-16
90,5,1.64985
90,6,3.2997
90,7,3.2997
90,8,3.2997
90,9,3.2997
