target_ttm_days,knot_index,knot_value
30,1,2.22044604925031e-16
30,2,2.22044604925031e-16
30,3,2.22044604925031e-16
30,4,2.22044604925031e-16
30,5,1.64985
30,6,3.2997
30,7,3.2997
30,8,3.2997
30,9,3.2997
