date_TTM_180,exdate_TTM_180,kappa_TTM_180
19960117,19960621,1.07185628812987
19960214,19960920,1.0675194468838
19960320,19960920,1.0689848861303
19960417,19960920,1.07301852006023
19960522,19961220,1.07510443691741
19960619,19961220,1.07632332783587
19960717,19961220,1.07685370137122
19960821,19970321,1.07779220525339
19960918,19970321,1.07680441756698
19961016,19970321,1.0733354213176
19961120,19970620,1.07098724889169
19961218,19970620,1.07041165476253
19970122,19970620,1.07353561410607
19970219,19970919,1.07083611462775
19970319,19970919,1.0702306399651
19970416,19970919,1.07565553785939
19970521,19971219,1.07734780793088
19970618,19971219,1.0751876182646
19970716,19971219,1.07103114480809
19970820,19980320,1.06053803357077
19970917,19980320,1.06502227278833
19971022,19980320,1.07149825272529
19971119,19980619,1.06444224059195
19971217,19980619,1.07454909706526
19980121,19980619,1.07430161293996
19980218,19980918,1.06956046615974
19980318,19980918,1.07699659827117
19980415,19980918,1.07624170411517
19980520,19981218,1.0763519107961
19980617,19981218,1.07578083079368
19980722,19981218,1.07888053647791
19980819,19990319,1.0753333770884
19980916,19990319,1.07369874989656
19981021,19990319,1.07467829632678
19981118,19990618,1.07781741743189
19981216,19990618,1.07454864057455
19990120,19990618,1.07443612953545
19990217,19990917,1.06894802124091
19990317,19990917,1.07242533323998
19990421,19990917,1.07424898906376
19990519,19991217,1.07337706347995
19990616,19991217,1.0757665143792
19990721,20000121,1.08012923588833
19990818,20000121,1.07723360678592
19990915,20000317,1.07977193244579
19991020,20000317,1.07952488793951
19991117,20000616,1.08401296884037
19991222,20000616,1.08505472129215
20000119,20000616,1.08479265691846
20000216,20000915,1.08462759117581
20000321,20000915,1.08608035212313
20000419,20000915,1.08100222629315
20000517,20001215,1.0839817584874
20000621,20001215,1.08422897906225
20000719,20001215,1.08500129001886
20000816,20010316,1.08642797858711
20000920,20010316,1.08596668307697
20001018,20010316,1.0819953412197
20001115,20010615,1.08634878501967
20001220,20010615,1.08362271291412
20010117,20010615,1.07908561044601
20010214,20010921,1.07407228417489
20010321,20010921,1.0781678731757
20010418,20010921,1.08134969457368
20010516,20011221,1.07110187644399
20010620,20011221,1.06683515469271
20010718,20011221,1.0731032948584
20010822,20020315,1.07200951916046
20010919,20020315,1.06128302146811
20011017,20020315,1.07008411963647
20011121,20020621,1.05591003087807
20011219,20020621,1.05844704774874
20020116,20020621,1.06378198612041
20020213,20020920,1.06380930107362
20020320,20020920,1.06803430512168
20020417,20020920,1.06835284873929
20020522,20021220,1.06572763628509
20020619,20021220,1.06139841870887
20020717,20021220,1.05818620724204
20020821,20030321,1.05721786121531
20020918,20030321,1.05151258434523
20021016,20030321,1.04699269517907
20021120,20030620,1.04546555469846
20021218,20030620,1.04499103438602
20030122,20030620,1.05026573564164
20030219,20030919,1.0419193553086
20030318,20030919,1.04501160333209
20030416,20030919,1.05088205313373
20030521,20031219,1.04464401382103
20030618,20031219,1.05101658667309
20030716,20031219,1.0551007143457
20030820,20040319,1.04825997435412
20030917,20040319,1.05208060717999
20031022,20040319,1.05921632019486
20031119,20040618,1.05629922087754
20031217,20040618,1.0604131774016
20040121,20040618,1.06178138590978
20040218,20040917,1.05622553568795
20040317,20040917,1.05782533021528
20040421,20040917,1.06188570546565
20040519,20041217,1.05873020817229
20040616,20041217,1.06329845536331
20040721,20041217,1.0656822099731
20040818,20050318,1.06247497634691
20040915,20050318,1.06452258040919
20041020,20050318,1.06777822547114
20041117,20050617,1.06791337884335
20041222,20050617,1.07155337788796
20050119,20050617,1.07160845720954
20050216,20050916,1.07125151934465
20050316,20050916,1.07052175947504
20050420,20050916,1.07004476451938
20050518,20051216,1.07140112229831
20050615,20051216,1.07213956005173
20050720,20051216,1.07425460773044
20050817,20060317,1.0732590120768
20050921,20060317,1.07275526479952
20051019,20060317,1.07358872075167
20051116,20060616,1.07489111418472
20051221,20060616,1.07683414553713
20060118,20060616,1.07639443111082
20060215,20060915,1.0768385803343
20060322,20060915,1.07761938272554
20060419,20060915,1.07794841459294
20060517,20061215,1.07742303484358
20060621,20061215,1.0792561931865
20060719,20061215,1.07800202824403
20060816,20070316,1.07829988938686
20060920,20070316,1.07832834214832
20061018,20070316,1.07810095281039
20061115,20070615,1.07901862421736
20061220,20070615,1.07897738904982
20070117,20070615,1.07909079273234
20070214,20070921,1.08038713125514
20070321,20070921,1.07977849909417
20070418,20070921,1.07960526485917
20070516,20071221,1.0784935843695
20070620,20071221,1.07828840448982
20070718,20071221,1.07627024250994
20070822,20080320,1.07173403038422
20070919,20080320,1.07176588953337
20071017,20080320,1.07181422773548
20071121,20080620,1.06305819904674
20071219,20080620,1.06893514165012
20080116,20080620,1.06543593889941
20080219,20080919,1.07108602598946
20080319,20080919,1.06373918353361
20080416,20080919,1.05802195120671
20080521,20081219,1.05552357250782
20080618,20081219,1.05923929800755
20080716,20081219,1.0577466443408
20080820,20090320,1.05339221672705
20080917,20090320,1.04977511531296
20081022,20090320,1.03706007192944
20081119,20090619,1.00908281789029
20081217,20090619,1.02859031805042
20090121,20090619,1.03733009665684
20090218,20090918,1.02682766562201
20090318,20090918,1.02549505247115
20090415,20090918,1.02786480940813
20090520,20091218,1.02706560214051
20090617,20091218,1.03883316343075
20090722,20091218,1.04578449754027
20090819,20100319,1.03780780384301
20090916,20100319,1.04349827186776
20091021,20100319,1.05000104718838
20091118,20100618,1.04069662935873
20091216,20100618,1.04616694912472
20100120,20100618,1.05288477382564
20100217,20100917,1.04369526380678
20100317,20100917,1.04821954250758
20100421,20100917,1.05436356665925
20100519,20101217,1.04755211696725
20100616,20101217,1.05189117459618
20100721,20101217,1.05224346413238
20100818,20110318,1.0441659402161
20100915,20110318,1.04831747476839
20101020,20110318,1.05180057248638
20101117,20110617,1.04296364622054
20101222,20110617,1.05144332371953
20110119,20110617,1.05413078630451
20110216,20110916,1.04821925362205
20110316,20110916,1.05013579384957
20110420,20110916,1.05565479757607
20110518,20111216,1.0469193388393
20110615,20111216,1.04863644384989
20110720,20111216,1.05408097960177
20110817,20120316,1.04681225524862
20110921,20120316,1.04840565405208
20111019,20120316,1.052109259888
20111116,20120615,1.04517876395288
20111221,20120615,1.04804927374106
20120118,20120615,1.05405739699194
20120215,20120921,1.04613640204539
20120321,20120921,1.05152790247098
20120418,20120921,1.05417069292765
20120521,20121116,1.05040765673387
20120620,20121221,1.05061588520085
20120718,20121221,1.05039605442494
20120822,20130315,1.043488961457
20120919,20130315,1.04797005226607
20121017,20130315,1.05246291064297
20121121,20130621,1.04295564381022
20121219,20130621,1.04614009489477
20130116,20130621,1.05078265635029
20130213,20130920,1.0432258155546
20130320,20130920,1.05021863545461
20130417,20130920,1.0534798384361
20130522,20131220,1.04424686979492
20130619,20131220,1.05113420912469
20130717,20140117,1.05008558000424
20130821,20140321,1.04591441412424
20130918,20140321,1.04958150661725
20131016,20140321,1.05481814804773
20131120,20140620,1.04768163656156
20131218,20140620,1.05308115392138
20140122,20140620,1.05706317317115
20140219,20140919,1.04996123588066
20140318,20140919,1.05375543330644
20140416,20140919,1.05578855688687
20140521,20141219,1.04857205032728
20140618,20141219,1.05284764923429
20140716,20150116,1.05346419698421
20140820,20150320,1.04968678303642
20140917,20150320,1.05351790996319
20141022,20150320,1.05613536682864
20141119,20150619,1.05073346458783
20141217,20150619,1.05522451133876
20150121,20150619,1.05950746242076
20150218,20150918,1.05498304398513
20150318,20150918,1.05610423261757
20150415,20150918,1.05755176357416
20150520,20151218,1.05174400647398
20150617,20151218,1.05468517047915
20150722,20160115,1.05523103078683
20150819,20160318,1.05255787370103
20150916,20160318,1.05316114587666
20151021,20160318,1.05579507255113
20151118,20160617,1.05141726483514
20151216,20160617,1.05783520853235
20160120,20160617,1.0553600626259
20160217,20160916,1.05176385786006
20160316,20160916,1.05292941730228
20160420,20160916,1.0570587764702
20160518,20161216,1.05058277478368
20160615,20161216,1.05400441114756
20160720,20170120,1.054055637689
20160817,20170120,1.05762801485828
20160921,20170317,1.05644776727937
20161019,20170317,1.05836634782274
20161116,20170616,1.05396360924662
20161221,20170616,1.0588362462619
20170118,20170616,1.06203479366407
20170215,20170915,1.05579673363777
20170322,20170915,1.06125724172436
20170419,20170915,1.06342573275611
20170517,20171215,1.05866906164039
20170621,20171215,1.06186015682052
20170719,20180119,1.06160293647629
20170816,20180119,1.06360661582959
20170920,20180316,1.06217378843177
20171018,20180316,1.06605828273552
20171115,20180615,1.06458289589471
20171220,20180615,1.06907080165271
20180117,20180615,1.06975923344489
20180214,20180921,1.06676668497419
20180321,20180921,1.06819953362429
20180418,20180921,1.06922995195264
20180516,20181221,1.06732284764283
20180620,20181221,1.06759058018255
20180718,20190118,1.06870407367532
20180822,20190315,1.06845927223798
20180919,20190315,1.0699535730593
20181017,20190315,1.07022464400087
20181121,20190621,1.06587223077907
20181219,20190621,1.06252822452563
20190116,20190621,1.06882302196009
20190219,20190816,1.06561727419499
20190319,20190920,1.06734147007464
20190422,20191018,1.06835474174028
20190522,20191115,1.06475669560339
20190619,20191220,1.06203864268163
20190717,20200117,1.06239002674334
20190821,20200221,1.05996819636363
20190918,20200320,1.06171054696329
20191021,20200417,1.0621407559056
20191120,20200515,1.0621404002075
20191218,20200619,1.0624282812814
20200122,20200717,1.06286496060356
20200224,20200821,1.05995619537354
20200318,20200918,1.06716681646808
20200415,20201016,1.06381496250286
20200520,20201120,1.0640947573908
20200617,20201218,1.05914566524552
20200722,20210115,1.05735724067364
20200820,20210219,1.05944495635233
20200916,20210319,1.05670271057194
20201021,20210416,1.05684175025908
20201119,20210521,1.05730265423578
20201216,20210618,1.05751776674433
20210120,20210716,1.06224321092573
20210218,20210820,1.06162048422589
20210317,20210917,1.05952776520406
20210421,20211015,1.06181537658046
20210519,20211119,1.06253159130082
20210616,20211217,1.06038160822855
20210721,20220121,1.06229940658232
20210818,20220218,1.06295071829259
20210915,20220318,1.06380458836778
20211020,20220414,1.06490863005169
20211117,20220520,1.06598335107747
20211222,20220617,1.06923600942882
20220119,20220715,1.06668237743539
20220216,20220819,1.06850585659903
20220315,20220916,1.07059249927198
20220420,20221021,1.07341776482038
20220518,20221118,1.0723160046996
20220615,20221216,1.06785250363862
20220720,20230120,1.0681243871232
20220817,20230217,1.07529215053231
20220921,20230317,1.0704030722831
20221019,20230421,1.06616225320062
20221116,20230519,1.07304394379834
20221221,20230616,1.07551910622062
20230118,20230721,1.07888038684749
20230215,20230818,1.0810271475891
20230322,20230915,1.08176106112785
20230419,20231020,1.0838814153103
20230517,20231117,1.08505353851177
20230621,20231215,1.08600038422455
20230719,20240119,1.08906218959463
20230816,20240216,1.08973233394705
20230920,20240315,1.08878256706518
20231018,20240419,1.08916678150524
20231115,20240517,1.08825241594947
20231220,20240621,1.08706335969177
20240117,20240719,1.0864549164726
20240214,20240816,1.0858339975481
20240320,20240920,1.08742735525979
20240417,20241018,1.08815895705406
