target_ttm_days,knot_index,knot_value
180,1,2.22044604925031e-16
180,2,2.22044604925031e-16
180,3,2.22044604925031e-16
180,4,2.22044604925031e-16
180,5,1.64985
180,6,3.2997
180,7,3.2997
180,8,3.2997
180,9,3.2997
